year,series,category,source_a,value_a,source_b,value_b,rel_diff
1949,N,total,krausmann2018,14.33128488,krausmann2009,13.61127284,0.05153515632
1949,N,total,krausmann2009,13.61127284,haas2020,14.33128488,0.05153515612
1950,N,total,krausmann2018,14.98945685,krausmann2009,14.14954761,0.05764845132
1950,N,total,krausmann2009,14.14954761,haas2020,14.98945685,0.05764845163
1951,N,total,krausmann2018,15.63922635,krausmann2009,14.67451233,0.06364863339
1951,N,total,krausmann2009,14.67451233,haas2020,15.63922635,0.06364863319
1952,N,total,krausmann2018,16.08032553,krausmann2009,15.01025548,0.06883564187
1952,N,total,krausmann2009,15.01025548,haas2020,16.08032553,0.0688356418
1953,N,total,krausmann2018,16.50993427,krausmann2009,15.41121842,0.06883935932
1953,N,total,krausmann2009,15.41121842,haas2020,16.50993427,0.06883935959
1954,N,total,krausmann2018,17.05367874,krausmann2009,15.83154193,0.07432742035
1954,N,total,krausmann2009,15.83154193,haas2020,17.05367874,0.07432742033
1955,N,total,krausmann2018,17.70593459,krausmann2009,16.46568308,0.07258956962
1955,N,total,krausmann2009,16.46568308,haas2020,17.70593459,0.07258956983
1956,N,total,krausmann2018,18.45553898,krausmann2009,17.05851702,0.07867431194
1956,N,total,krausmann2009,17.05851702,haas2020,18.45553898,0.07867431191
1957,N,total,krausmann2018,19.01734689,krausmann2009,17.53042911,0.08136844113
1957,N,total,krausmann2009,17.53042911,haas2020,19.01734689,0.08136844136
1958,N,total,krausmann2018,19.53526918,krausmann2009,17.92379459,0.08603923472
1958,N,total,krausmann2009,17.92379459,haas2020,19.53526919,0.08603923497
1959,N,total,krausmann2018,20.34125246,krausmann2009,18.6590153,0.08626798002
1959,N,total,krausmann2009,18.6590153,haas2020,20.34125246,0.08626798025
1960,N,total,krausmann2018,21.27379464,krausmann2009,19.4666473,0.08871515644
1960,N,total,krausmann2009,19.4666473,haas2020,21.27379464,0.08871515632
1961,N,total,krausmann2018,21.82592137,krausmann2009,19.8402998,0.09531085442
1961,N,total,krausmann2009,19.8402998,haas2020,21.82592137,0.09531085439
1962,N,total,krausmann2018,22.67795252,krausmann2009,20.4933888,0.1012043478
1962,N,total,krausmann2009,20.4933888,haas2020,22.67795252,0.1012043478
1963,N,total,krausmann2018,23.68982223,krausmann2009,21.3172402,0.1054315435
1963,N,total,krausmann2009,21.3172402,haas2020,23.68982223,0.1054315437
1964,N,total,krausmann2018,25.05214418,krausmann2009,22.47642641,0.1083860818
1964,N,total,krausmann2009,22.47642641,haas2020,25.05214419,0.1083860821
1965,N,total,krausmann2018,25.6279301,krausmann2009,22.90870654,0.1120482896
1965,N,total,krausmann2009,22.90870654,haas2020,25.6279301,0.1120482897
1966,N,total,krausmann2018,26.98654478,krausmann2009,23.87866176,0.1222007432
1966,N,total,krausmann2009,23.87866176,haas2020,26.98654478,0.1222007433
1967,N,total,krausmann2018,27.50298139,krausmann2009,24.390663,0.119949887
1967,N,total,krausmann2009,24.390663,haas2020,27.50298139,0.1199498869
1968,N,total,krausmann2018,28.82397113,krausmann2009,25.46337532,0.1238077022
1968,N,total,krausmann2009,25.46337532,haas2020,28.82397113,0.1238077022
1969,N,total,krausmann2018,29.61849955,krausmann2009,26.17462168,0.1234517014
1969,N,total,krausmann2009,26.17462168,haas2020,29.61849954,0.1234517012
1970,N,biomass,krausmann2018,11.57350618,unep_irp,12.58171182,0.08347725448
1970,N,biomass,krausmann2009,11.46514762,unep_irp,12.58171182,0.09286569856
1970,N,biomass,unep_irp,12.58171182,haas2020,11.57350618,0.08347725448
1970,N,metals,krausmann2018,1.54308837,unep_irp,2.655734908,0.5299801703
1970,N,metals,unep_irp,2.655734908,haas2020,1.54308837,0.5299801703
1970,N,non_metallic_minerals,krausmann2018,11.77108857,unep_irp,9.56080484,0.2072280868
1970,N,non_metallic_minerals,unep_irp,9.56080484,haas2020,11.77108857,0.2072280868
1970,N,total,krausmann2018,31.19700793,krausmann2009,27.31248987,0.1327824783
1970,N,total,krausmann2009,27.31248987,unep_irp,30.94237733,0.1246209161
1970,N,total,krausmann2009,27.31248987,haas2020,31.19700793,0.1327824783
1971,N,biomass,krausmann2018,11.92007202,unep_irp,12.82562557,0.0731887672
1971,N,biomass,krausmann2009,11.73528511,unep_irp,12.82562557,0.08878664755
1971,N,biomass,unep_irp,12.82562557,haas2020,11.92007202,0.0731887672
1971,N,metals,krausmann2018,1.561165909,unep_irp,2.669072771,0.5238034758
1971,N,metals,unep_irp,2.669072771,haas2020,1.561165909,0.5238034758
1971,N,non_metallic_minerals,krausmann2018,11.99821731,unep_irp,10.15985174,0.165931929
1971,N,non_metallic_minerals,unep_irp,10.15985174,haas2020,11.99821731,0.165931929
1971,N,total,krausmann2018,31.99215635,krausmann2009,27.98617621,0.1335809106
1971,N,total,krausmann2009,27.98617621,unep_irp,31.95345929,0.1323759495
1971,N,total,krausmann2009,27.98617621,haas2020,31.99215634,0.1335809103
1972,N,biomass,krausmann2018,11.91285869,unep_irp,12.77475209,0.06982396212
1972,N,biomass,krausmann2009,11.80265646,unep_irp,12.77475209,0.07910481107
1972,N,biomass,unep_irp,12.77475209,haas2020,11.91285869,0.06982396212
1972,N,metals,krausmann2018,1.595636301,unep_irp,2.792168749,0.5453899772
1972,N,metals,unep_irp,2.792168749,haas2020,1.595636301,0.5453899772
1972,N,non_metallic_minerals,krausmann2018,13.39370937,unep_irp,10.5889528,0.2338986848
1972,N,non_metallic_minerals,unep_irp,10.5889528,haas2020,13.39370937,0.2338986848
1972,N,total,krausmann2018,33.64892248,krausmann2009,29.11365354,0.1445214402
1972,N,total,krausmann2009,29.11365354,unep_irp,32.70226377,0.1161063489
1972,N,total,krausmann2009,29.11365354,haas2020,33.64892248,0.1445214403
1973,N,biomass,krausmann2018,12.38955295,unep_irp,13.38619267,0.07733159185
1973,N,biomass,krausmann2009,12.26920466,unep_irp,13.38619267,0.0870762589
1973,N,biomass,unep_irp,13.38619267,haas2020,12.38955295,0.07733159185
1973,N,metals,krausmann2018,1.717560089,unep_irp,2.929051437,0.5214515314
1973,N,metals,unep_irp,2.929051437,haas2020,1.717560089,0.5214515314
1973,N,non_metallic_minerals,krausmann2018,13.81448999,unep_irp,11.36872444,0.1942377576
1973,N,non_metallic_minerals,unep_irp,11.36872444,haas2020,13.81448999,0.1942377576
1973,N,total,krausmann2018,34.98198897,krausmann2009,30.44569347,0.1386659387
1973,N,total,krausmann2009,30.44569347,unep_irp,34.53703463,0.1259208802
1973,N,total,krausmann2009,30.44569347,haas2020,34.98198897,0.1386659386
1974,N,biomass,krausmann2018,12.5200675,unep_irp,13.47906097,0.0737712013
1974,N,biomass,krausmann2009,12.45368371,unep_irp,13.47906097,0.0790797328
1974,N,biomass,unep_irp,13.47906097,haas2020,12.5200675,0.0737712013
1974,N,metals,krausmann2018,1.806117468,unep_irp,2.926366384,0.4734295778
1974,N,metals,unep_irp,2.926366384,haas2020,1.806117468,0.4734295778
1974,N,non_metallic_minerals,krausmann2018,14.16295732,unep_irp,11.32975481,0.2222754876
1974,N,non_metallic_minerals,unep_irp,11.32975481,haas2020,14.16295732,0.2222754876
1974,N,total,krausmann2018,35.59786317,krausmann2009,30.9356826,0.140145261
1974,N,total,krausmann2009,30.9356826,unep_irp,34.61265165,0.1121910752
1974,N,total,krausmann2009,30.9356826,haas2020,35.59786317,0.140145261
1975,N,biomass,krausmann2018,12.59878556,unep_irp,13.6811816,0.08237423079
1975,N,biomass,krausmann2009,12.51889102,unep_irp,13.6811816,0.08872422583
1975,N,biomass,unep_irp,13.6811816,haas2020,12.59878556,0.08237423079
1975,N,metals,krausmann2018,1.811983902,unep_irp,2.809949466,0.4318390096
1975,N,metals,unep_irp,2.809949466,haas2020,1.811983902,0.4318390096
1975,N,non_metallic_minerals,krausmann2018,13.87343299,unep_irp,10.93716138,0.2366949833
1975,N,non_metallic_minerals,unep_irp,10.93716138,haas2020,13.87343299,0.2366949833
1975,N,total,krausmann2018,35.45574613,krausmann2009,31.02211912,0.1333865639
1975,N,total,krausmann2009,31.02211912,unep_irp,34.38095049,0.1027117348
1975,N,total,krausmann2009,31.02211912,haas2020,35.45574613,0.1333865639
1976,N,biomass,krausmann2018,12.96998909,unep_irp,14.11846403,0.08479442772
1976,N,biomass,krausmann2009,12.86560401,unep_irp,14.11846403,0.09285923962
1976,N,biomass,unep_irp,14.11846403,haas2020,12.96998909,0.08479442772
1976,N,metals,krausmann2018,1.837513839,unep_irp,2.902396549,0.4493260939
1976,N,metals,unep_irp,2.902396549,haas2020,1.837513839,0.4493260939
1976,N,non_metallic_minerals,krausmann2018,13.97667082,unep_irp,11.4372485,0.1998449974
1976,N,non_metallic_minerals,unep_irp,11.4372485,haas2020,13.97667082,0.1998449974
1976,N,total,krausmann2018,36.29020995,krausmann2009,31.97477227,0.1264319579
1976,N,total,krausmann2009,31.97477227,unep_irp,35.72689402,0.1108428184
1976,N,total,krausmann2009,31.97477227,haas2020,36.29020995,0.1264319579
1977,N,biomass,krausmann2018,13.08525345,unep_irp,14.25194631,0.08535569629
1977,N,biomass,krausmann2009,12.92536535,unep_irp,14.25194631,0.09762414889
1977,N,biomass,unep_irp,14.25194631,haas2020,13.08525345,0.08535569629
1977,N,metals,krausmann2018,1.814546279,unep_irp,2.82405161,0.4352631356
1977,N,metals,unep_irp,2.82405161,haas2020,1.814546279,0.4352631356
1977,N,non_metallic_minerals,krausmann2018,14.36320818,unep_irp,11.99970073,0.1793055128
1977,N,non_metallic_minerals,unep_irp,11.99970073,haas2020,14.36320818,0.1793055128
1977,N,total,krausmann2018,37.03497017,krausmann2009,32.79813503,0.1213417369
1977,N,total,krausmann2009,32.79813503,unep_irp,36.61491143,0.1099728825
1977,N,total,krausmann2009,32.79813503,haas2020,37.03497017,0.1213417369
1978,N,biomass,krausmann2018,13.4567124,unep_irp,14.67582886,0.08666948704
1978,N,biomass,krausmann2009,13.25415945,unep_irp,14.67582886,0.1018023634
1978,N,biomass,unep_irp,14.67582886,haas2020,13.4567124,0.08666948704
1978,N,metals,krausmann2018,1.841645494,unep_irp,2.828169259,0.4225108777
1978,N,metals,unep_irp,2.828169259,haas2020,1.841645494,0.4225108777
1978,N,non_metallic_minerals,krausmann2018,15.00620432,unep_irp,12.92070051,0.1493544539
1978,N,non_metallic_minerals,unep_irp,12.92070051,haas2020,15.00620432,0.1493544539
1978,N,total,krausmann2018,38.21873715,krausmann2009,33.84804822,0.1212955152
1978,N,total,krausmann2009,33.84804822,unep_irp,38.05185905,0.1169350835
1978,N,total,krausmann2009,33.84804822,haas2020,38.21873715,0.1212955153
1979,N,biomass,krausmann2018,13.5171866,unep_irp,14.5701022,0.07497452727
1979,N,biomass,krausmann2009,13.33797243,unep_irp,14.5701022,0.08829915975
1979,N,biomass,unep_irp,14.5701022,haas2020,13.5171866,0.07497452727
1979,N,metals,krausmann2018,1.93477447,unep_irp,2.917260222,0.4049788653
1979,N,metals,unep_irp,2.917260222,haas2020,1.93477447,0.4049788653
1979,N,non_metallic_minerals,krausmann2018,15.38763415,unep_irp,13.09759394,0.1607879145
1979,N,non_metallic_minerals,unep_irp,13.09759394,haas2020,15.38763415,0.1607879145
1979,N,total,krausmann2018,39.10850908,krausmann2009,34.67427764,0.1201969087
1979,N,total,krausmann2009,34.67427764,unep_irp,38.66976304,0.1089518757
1979,N,total,krausmann2009,34.67427764,haas2020,39.10850908,0.1201969087
1980,N,biomass,krausmann2018,13.51803751,unep_irp,14.5607568,0.07427094472
1980,N,biomass,krausmann2009,13.38248363,unep_irp,14.5607568,0.08433332369
1980,N,biomass,unep_irp,14.5607568,haas2020,13.51803751,0.07427094472
1980,N,metals,krausmann2018,1.951333151,unep_irp,2.917930463,0.3970199146
1980,N,metals,unep_irp,2.917930463,haas2020,1.951333151,0.3970199146
1980,N,non_metallic_minerals,krausmann2018,15.46663161,unep_irp,12.95922228,0.1764175205
1980,N,non_metallic_minerals,unep_irp,12.95922228,haas2020,15.46663161,0.1764175205
1980,N,total,krausmann2018,39.16208093,krausmann2009,34.81822741,0.1174326957
1980,N,total,krausmann2009,34.81822741,unep_irp,38.45403387,0.09924100598
1980,N,total,krausmann2009,34.81822741,haas2020,39.16208093,0.1174326958
1981,N,biomass,krausmann2018,13.89319371,unep_irp,14.97613019,0.07502333506
1981,N,biomass,krausmann2009,13.72556608,unep_irp,14.97613019,0.08714217433
1981,N,biomass,unep_irp,14.97613019,haas2020,13.89319371,0.07502333506
1981,N,metals,krausmann2018,1.941325024,unep_irp,2.957856247,0.4149800413
1981,N,metals,unep_irp,2.957856247,haas2020,1.941325024,0.4149800413
1981,N,non_metallic_minerals,krausmann2018,14.92370026,unep_irp,12.58267995,0.170216531
1981,N,non_metallic_minerals,unep_irp,12.58267995,haas2020,14.92370026,0.170216531
1981,N,total,krausmann2018,38.86754172,krausmann2009,35.02312508,0.104056894
1981,N,total,krausmann2009,35.02312508,unep_irp,38.41855627,0.09246605273
1981,N,total,krausmann2009,35.02312508,haas2020,38.86754171,0.1040568938
1982,N,biomass,krausmann2018,14.18902226,unep_irp,15.42623851,0.08355261563
1982,N,biomass,krausmann2009,14.0698035,unep_irp,15.42623851,0.09197403567
1982,N,biomass,unep_irp,15.42623851,haas2020,14.18902226,0.08355261563
1982,N,metals,krausmann2018,1.835129006,unep_irp,2.881586234,0.4437228769
1982,N,metals,unep_irp,2.881586234,haas2020,1.835129006,0.4437228769
1982,N,non_metallic_minerals,krausmann2018,14.75264474,unep_irp,12.36874641,0.1757946941
1982,N,non_metallic_minerals,unep_irp,12.36874641,haas2020,14.75264474,0.1757946941
1982,N,total,krausmann2018,39.07552347,krausmann2009,35.34985068,0.100118349
1982,N,total,krausmann2009,35.34985068,unep_irp,38.59815573,0.08785375584
1982,N,total,krausmann2009,35.34985068,haas2020,39.07552347,0.1001183488
1983,N,biomass,krausmann2018,14.1474248,unep_irp,15.37507672,0.08316720175
1983,N,biomass,krausmann2009,14.15990481,unep_irp,15.37507672,0.0822869592
1983,N,biomass,unep_irp,15.37507672,haas2020,14.1474248,0.08316720175
1983,N,metals,krausmann2018,1.747762526,unep_irp,2.911888035,0.4996621501
1983,N,metals,unep_irp,2.911888035,haas2020,1.747762526,0.4996621501
1983,N,non_metallic_minerals,krausmann2018,14.94769167,unep_irp,13.00985632,0.1386269891
1983,N,non_metallic_minerals,unep_irp,13.00985632,haas2020,14.94769167,0.1386269891
1983,N,total,krausmann2018,39.16888236,krausmann2009,35.65358943,0.09396356057
1983,N,total,krausmann2009,35.65358943,unep_irp,39.25854792,0.09624497758
1983,N,total,krausmann2009,35.65358943,haas2020,39.16888236,0.09396356047
1984,N,biomass,krausmann2018,14.6905423,unep_irp,15.95728659,0.08266453683
1984,N,biomass,krausmann2009,14.61294497,unep_irp,15.95728659,0.0879510263
1984,N,biomass,unep_irp,15.95728659,haas2020,14.6905423,0.08266453683
1984,N,fossil,krausmann2018,8.7003234,unep_irp,8.237975396,0.05459202362
1984,N,fossil,krausmann2009,8.70473936,unep_irp,8.237975396,0.055099076
1984,N,fossil,unep_irp,8.237975396,haas2020,8.7003234,0.05459202362
1984,N,metals,krausmann2018,1.90953957,unep_irp,3.138244852,0.4868295392
1984,N,metals,unep_irp,3.138244852,haas2020,1.90953957,0.4868295392
1984,N,non_metallic_minerals,krausmann2018,15.62856432,unep_irp,13.52621701,0.1442197275
1984,N,non_metallic_minerals,unep_irp,13.52621701,haas2020,15.62856432,0.1442197275
1984,N,total,krausmann2018,40.92896959,krausmann2009,37.00197082,0.100781506
1984,N,total,krausmann2009,37.00197082,unep_irp,40.85972385,0.09909244967
1984,N,total,krausmann2009,37.00197082,haas2020,40.92896959,0.100781506
1985,N,biomass,krausmann2018,14.89941964,unep_irp,16.09278251,0.0770105244
1985,N,biomass,krausmann2009,15.29921835,unep_irp,16.09278251,0.05055836763
1985,N,biomass,unep_irp,16.09278251,haas2020,14.89941964,0.0770105244
1985,N,metals,krausmann2018,1.978188351,unep_irp,3.267681921,0.4916223632
1985,N,metals,unep_irp,3.267681921,haas2020,1.978188351,0.4916223632
1985,N,non_metallic_minerals,krausmann2018,15.83905487,unep_irp,14.25046046,0.1055912262
1985,N,non_metallic_minerals,unep_irp,14.25046046,haas2020,15.83905487,0.1055912262
1985,N,total,krausmann2018,41.42160956,krausmann2009,37.97819657,0.08673605536
1985,N,total,krausmann2009,37.97819657,unep_irp,42.0307919,0.1013035012
1985,N,total,krausmann2009,37.97819657,haas2020,41.42160956,0.08673605538
1986,N,biomass,krausmann2018,15.06484129,unep_irp,16.25514479,0.07600919726
1986,N,biomass,unep_irp,16.25514479,haas2020,15.06484129,0.07600919726
1986,N,metals,krausmann2018,1.998456441,unep_irp,3.34990892,0.5053702908
1986,N,metals,unep_irp,3.34990892,haas2020,1.998456441,0.5053702908
1986,N,non_metallic_minerals,krausmann2018,16.41606747,unep_irp,15.00848187,0.08958509379
1986,N,non_metallic_minerals,unep_irp,15.00848187,haas2020,16.41606747,0.08958509379
1986,N,total,krausmann2018,42.43057199,krausmann2009,38.90271665,0.08675058882
1986,N,total,krausmann2009,38.90271665,unep_irp,43.2894671,0.1067437377
1986,N,total,krausmann2009,38.90271665,haas2020,42.430572,0.08675058908
1987,N,biomass,krausmann2018,15.15500489,unep_irp,16.34465566,0.07553419619
1987,N,biomass,unep_irp,16.34465566,haas2020,15.15500489,0.07553419619
1987,N,metals,krausmann2018,2.097932947,unep_irp,3.513872445,0.5046288669
1987,N,metals,unep_irp,3.513872445,haas2020,2.097932947,0.5046288669
1987,N,non_metallic_minerals,krausmann2018,17.12389886,unep_irp,15.9515585,0.07088883744
