year,series,category,value,unit,source,method
1900,N,biomass,5.271598443,Gt/yr,haas2020,observed
1901,N,biomass,5.332061472,Gt/yr,haas2020,observed
1902,N,biomass,5.392524501,Gt/yr,haas2020,observed
1903,N,biomass,5.452987529,Gt/yr,haas2020,observed
1904,N,biomass,5.513450558,Gt/yr,haas2020,observed
1905,N,biomass,5.573913587,Gt/yr,haas2020,observed
1906,N,biomass,5.634376615,Gt/yr,haas2020,observed
1907,N,biomass,5.694839644,Gt/yr,haas2020,observed
1908,N,biomass,5.755302673,Gt/yr,haas2020,observed
1909,N,biomass,5.815765702,Gt/yr,haas2020,observed
1910,N,biomass,5.87622873,Gt/yr,haas2020,observed
1911,N,biomass,5.947307715,Gt/yr,haas2020,observed
1912,N,biomass,6.0183867,Gt/yr,haas2020,observed
1913,N,biomass,6.089465684,Gt/yr,haas2020,observed
1914,N,biomass,6.160544669,Gt/yr,haas2020,observed
1915,N,biomass,6.231623654,Gt/yr,haas2020,observed
1916,N,biomass,6.302702638,Gt/yr,haas2020,observed
1917,N,biomass,6.373781623,Gt/yr,haas2020,observed
1918,N,biomass,6.444860608,Gt/yr,haas2020,observed
1919,N,biomass,6.515939593,Gt/yr,haas2020,observed
1920,N,biomass,6.587018577,Gt/yr,haas2020,observed
1921,N,biomass,6.658097562,Gt/yr,haas2020,observed
1922,N,biomass,6.729176547,Gt/yr,haas2020,observed
1923,N,biomass,6.800255531,Gt/yr,haas2020,observed
1924,N,biomass,6.871334516,Gt/yr,haas2020,observed
1925,N,biomass,6.942413501,Gt/yr,haas2020,observed
1926,N,biomass,7.013492485,Gt/yr,haas2020,observed
1927,N,biomass,7.08457147,Gt/yr,haas2020,observed
1928,N,biomass,7.155650455,Gt/yr,haas2020,observed
1929,N,biomass,7.22672944,Gt/yr,haas2020,observed
1930,N,biomass,7.297808424,Gt/yr,haas2020,observed
1931,N,biomass,7.342558234,Gt/yr,haas2020,observed
1932,N,biomass,7.387308043,Gt/yr,haas2020,observed
1933,N,biomass,7.432057852,Gt/yr,haas2020,observed
1934,N,biomass,7.476807662,Gt/yr,haas2020,observed
1935,N,biomass,7.521557471,Gt/yr,haas2020,observed
1936,N,biomass,7.566307281,Gt/yr,haas2020,observed
1937,N,biomass,7.61105709,Gt/yr,haas2020,observed
1938,N,biomass,7.6558069,Gt/yr,haas2020,observed
1939,N,biomass,7.700556709,Gt/yr,haas2020,observed
