year,series,category,value,unit,source,method
1900,N,biomass,5.271598443,Gt/yr,krausmann2009,observed
1901,N,biomass,5.332061472,Gt/yr,krausmann2009,observed
1902,N,biomass,5.392524501,Gt/yr,krausmann2009,observed
1903,N,biomass,5.452987529,Gt/yr,krausmann2009,observed
1904,N,biomass,5.513450558,Gt/yr,krausmann2009,observed
1905,N,biomass,5.573913587,Gt/yr,krausmann2009,observed
1906,N,biomass,5.634376615,Gt/yr,krausmann2009,observed
1907,N,biomass,5.694839644,Gt/yr,krausmann2009,observed
1908,N,biomass,5.755302673,Gt/yr,krausmann2009,observed
1909,N,biomass,5.815765702,Gt/yr,krausmann2009,observed
1910,N,biomass,5.87622873,Gt/yr,krausmann2009,observed
1911,N,biomass,5.947307715,Gt/yr,krausmann2009,observed
1912,N,biomass,6.0183867,Gt/yr,krausmann2009,observed
1913,N,biomass,6.089465684,Gt/yr,krausmann2009,observed
1914,N,biomass,6.160544669,Gt/yr,krausmann2009,observed
1915,N,biomass,6.231623654,Gt/yr,krausmann2009,observed
1916,N,biomass,6.302702638,Gt/yr,krausmann2009,observed
1917,N,biomass,6.373781623,Gt/yr,krausmann2009,observed
1918,N,biomass,6.444860608,Gt/yr,krausmann2009,observed
1919,N,biomass,6.515939593,Gt/yr,krausmann2009,observed
1920,N,biomass,6.587018577,Gt/yr,krausmann2009,observed
1921,N,biomass,6.658097562,Gt/yr,krausmann2009,observed
1922,N,biomass,6.729176547,Gt/yr,krausmann2009,observed
1923,N,biomass,6.800255531,Gt/yr,krausmann2009,observed
1924,N,biomass,6.871334516,Gt/yr,krausmann2009,observed
1925,N,biomass,6.942413501,Gt/yr,krausmann2009,observed
1926,N,biomass,7.013492485,Gt/yr,krausmann2009,observed
1927,N,biomass,7.08457147,Gt/yr,krausmann2009,observed
1928,N,biomass,7.155650455,Gt/yr,krausmann2009,observed
1929,N,biomass,7.22672944,Gt/yr,krausmann2009,observed
1930,N,biomass,7.297808424,Gt/yr,krausmann2009,observed
1931,N,biomass,7.342558234,Gt/yr,krausmann2009,observed
1932,N,biomass,7.387308043,Gt/yr,krausmann2009,observed
1933,N,biomass,7.432057852,Gt/yr,krausmann2009,observed
1934,N,biomass,7.476807662,Gt/yr,krausmann2009,observed
1935,N,biomass,7.521557471,Gt/yr,krausmann2009,observed
1936,N,biomass,7.566307281,Gt/yr,krausmann2009,observed
1937,N,biomass,7.61105709,Gt/yr,krausmann2009,observed
1938,N,biomass,7.6558069,Gt/yr,krausmann2009,observed
1939,N,biomass,7.700556709,Gt/yr,krausmann2009,observed
1940,N,biomass,7.745306518,Gt/yr,krausmann2009,observed
1941,N,biomass,7.790056328,Gt/yr,krausmann2009,observed
1942,N,biomass,7.834806137,Gt/yr,krausmann2009,observed
1943,N,biomass,7.879555947,Gt/yr,krausmann2009,observed
1944,N,biomass,7.924305756,Gt/yr,krausmann2009,observed
1945,N,biomass,7.969055566,Gt/yr,krausmann2009,observed
1946,N,biomass,8.013805375,Gt/yr,krausmann2009,observed
1947,N,biomass,8.058555184,Gt/yr,krausmann2009,observed
1948,N,biomass,8.103304994,Gt/yr,krausmann2009,observed
1949,N,biomass,8.148054803,Gt/yr,krausmann2009,observed
1950,N,biomass,8.192804613,Gt/yr,krausmann2009,observed
1951,N,biomass,8.300873328,Gt/yr,krausmann2009,observed
1952,N,biomass,8.408942043,Gt/yr,krausmann2009,observed
1953,N,biomass,8.517010758,Gt/yr,krausmann2009,observed
1954,N,biomass,8.625079473,Gt/yr,krausmann2009,observed
1955,N,biomass,8.733148188,Gt/yr,krausmann2009,observed
1956,N,biomass,8.841216903,Gt/yr,krausmann2009,observed
1957,N,biomass,8.949285618,Gt/yr,krausmann2009,observed
1958,N,biomass,9.057354333,Gt/yr,krausmann2009,observed
1959,N,biomass,9.165423048,Gt/yr,krausmann2009,observed
1960,N,biomass,9.273491763,Gt/yr,krausmann2009,observed
1961,N,biomass,9.381560478,Gt/yr,krausmann2009,observed
1962,N,biomass,9.462723148,Gt/yr,krausmann2009,observed
1963,N,biomass,9.588093862,Gt/yr,krausmann2009,observed
1964,N,biomass,9.979398523,Gt/yr,krausmann2009,observed
1965,N,biomass,10.18514651,Gt/yr,krausmann2009,observed
1966,N,biomass,10.54653344,Gt/yr,krausmann2009,observed
1967,N,biomass,10.81487182,Gt/yr,krausmann2009,observed
1968,N,biomass,11.03771616,Gt/yr,krausmann2009,observed
1969,N,biomass,11.14972781,Gt/yr,krausmann2009,observed
1970,N,biomass,11.46514762,Gt/yr,krausmann2009,observed
1971,N,biomass,11.73528511,Gt/yr,krausmann2009,observed
1972,N,biomass,11.80265646,Gt/yr,krausmann2009,observed
1973,N,biomass,12.26920466,Gt/yr,krausmann2009,observed
1974,N,biomass,12.45368371,Gt/yr,krausmann2009,observed
