year,series,category,value,unit,source,method
1900,DPO,biomass,5.258615008,Gt/yr,haas2020,observed
1901,DPO,biomass,5.315734994,Gt/yr,haas2020,observed
1902,DPO,biomass,5.373779915,Gt/yr,haas2020,observed
1903,DPO,biomass,5.433315796,Gt/yr,haas2020,observed
1904,DPO,biomass,5.492134354,Gt/yr,haas2020,observed
1905,DPO,biomass,5.551917331,Gt/yr,haas2020,observed
1906,DPO,biomass,5.611194565,Gt/yr,haas2020,observed
1907,DPO,biomass,5.67089665,Gt/yr,haas2020,observed
1908,DPO,biomass,5.730312849,Gt/yr,haas2020,observed
1909,DPO,biomass,5.789912187,Gt/yr,haas2020,observed
1910,DPO,biomass,5.849408549,Gt/yr,haas2020,observed
1911,DPO,biomass,5.919677371,Gt/yr,haas2020,observed
1912,DPO,biomass,5.989550291,Gt/yr,haas2020,observed
1913,DPO,biomass,6.059104116,Gt/yr,haas2020,observed
1914,DPO,biomass,6.128815245,Gt/yr,haas2020,observed
1915,DPO,biomass,6.198957886,Gt/yr,haas2020,observed
1916,DPO,biomass,6.268808869,Gt/yr,haas2020,observed
1917,DPO,biomass,6.338577008,Gt/yr,haas2020,observed
1918,DPO,biomass,6.408247195,Gt/yr,haas2020,observed
1919,DPO,biomass,6.478099242,Gt/yr,haas2020,observed
1920,DPO,biomass,6.547794146,Gt/yr,haas2020,observed
1921,DPO,biomass,6.616489563,Gt/yr,haas2020,observed
1922,DPO,biomass,6.68632212,Gt/yr,haas2020,observed
1923,DPO,biomass,6.7552691,Gt/yr,haas2020,observed
1924,DPO,biomass,6.824462298,Gt/yr,haas2020,observed
1925,DPO,biomass,6.894085545,Gt/yr,haas2020,observed
1926,DPO,biomass,6.963364112,Gt/yr,haas2020,observed
1927,DPO,biomass,7.032920889,Gt/yr,haas2020,observed
1928,DPO,biomass,7.10299253,Gt/yr,haas2020,observed
1929,DPO,biomass,7.172665921,Gt/yr,haas2020,observed
1930,DPO,biomass,7.243039883,Gt/yr,haas2020,observed
1931,DPO,biomass,7.28610075,Gt/yr,haas2020,observed
1932,DPO,biomass,7.331193727,Gt/yr,haas2020,observed
1933,DPO,biomass,7.374697755,Gt/yr,haas2020,observed
1934,DPO,biomass,7.419027713,Gt/yr,haas2020,observed
1935,DPO,biomass,7.464097725,Gt/yr,haas2020,observed
1936,DPO,biomass,7.507461199,Gt/yr,haas2020,observed
1937,DPO,biomass,7.551848705,Gt/yr,haas2020,observed
1938,DPO,biomass,7.596281045,Gt/yr,haas2020,observed
1939,DPO,biomass,7.640629934,Gt/yr,haas2020,observed
1940,DPO,biomass,7.685842662,Gt/yr,haas2020,observed
1941,DPO,biomass,7.730103341,Gt/yr,haas2020,observed
1942,DPO,biomass,7.775084281,Gt/yr,haas2020,observed
1943,DPO,biomass,7.820339443,Gt/yr,haas2020,observed
1944,DPO,biomass,7.863787582,Gt/yr,haas2020,observed
1945,DPO,biomass,7.909162451,Gt/yr,haas2020,observed
1946,DPO,biomass,7.954755369,Gt/yr,haas2020,observed
1947,DPO,biomass,7.998745293,Gt/yr,haas2020,observed
1948,DPO,biomass,8.043761426,Gt/yr,haas2020,observed
1949,DPO,biomass,8.088780212,Gt/yr,haas2020,observed
1950,DPO,biomass,8.13405478,Gt/yr,haas2020,observed
1951,DPO,biomass,8.24808304,Gt/yr,haas2020,observed
1952,DPO,biomass,8.360958353,Gt/yr,haas2020,observed
1953,DPO,biomass,8.474222598,Gt/yr,haas2020,observed
1954,DPO,biomass,8.587188992,Gt/yr,haas2020,observed
1955,DPO,biomass,8.700599012,Gt/yr,haas2020,observed
1956,DPO,biomass,8.813200329,Gt/yr,haas2020,observed
