year,series,category,value,unit,source,method
1970,DMI,biomass,12.95436941,Gt/yr,unep_irp,observed
1971,DMI,biomass,13.20185574,Gt/yr,unep_irp,observed
1972,DMI,biomass,13.18577956,Gt/yr,unep_irp,observed
1973,DMI,biomass,13.84868324,Gt/yr,unep_irp,observed
1974,DMI,biomass,13.93551546,Gt/yr,unep_irp,observed
1975,DMI,biomass,14.11253107,Gt/yr,unep_irp,observed
1976,DMI,biomass,14.6143043,Gt/yr,unep_irp,observed
1977,DMI,biomass,14.75733377,Gt/yr,unep_irp,observed
1978,DMI,biomass,15.22423957,Gt/yr,unep_irp,observed
1979,DMI,biomass,15.15816812,Gt/yr,unep_irp,observed
1980,DMI,biomass,15.17069705,Gt/yr,unep_irp,observed
1981,DMI,biomass,15.58943586,Gt/yr,unep_irp,observed
1982,DMI,biomass,16.0395638,Gt/yr,unep_irp,observed
1983,DMI,biomass,15.99568848,Gt/yr,unep_irp,observed
1984,DMI,biomass,16.60196861,Gt/yr,unep_irp,observed
1985,DMI,biomass,16.74180162,Gt/yr,unep_irp,observed
1986,DMI,biomass,16.89904548,Gt/yr,unep_irp,observed
1987,DMI,biomass,17.0411765,Gt/yr,unep_irp,observed
1988,DMI,biomass,17.06009504,Gt/yr,unep_irp,observed
1989,DMI,biomass,17.62015444,Gt/yr,unep_irp,observed
1990,DMI,biomass,17.93023018,Gt/yr,unep_irp,observed
1991,DMI,biomass,17.83581878,Gt/yr,unep_irp,observed
1992,DMI,biomass,18.04864668,Gt/yr,unep_irp,observed
1993,DMI,biomass,17.85254825,Gt/yr,unep_irp,observed
1994,DMI,biomass,18.12944981,Gt/yr,unep_irp,observed
1995,DMI,biomass,18.38123833,Gt/yr,unep_irp,observed
1996,DMI,biomass,18.95405048,Gt/yr,unep_irp,observed
1997,DMI,biomass,19.04038657,Gt/yr,unep_irp,observed
1998,DMI,biomass,19.39430464,Gt/yr,unep_irp,observed
1999,DMI,biomass,19.69349567,Gt/yr,unep_irp,observed
2000,DMI,biomass,19.83183346,Gt/yr,unep_irp,observed
2001,DMI,biomass,20.00634327,Gt/yr,unep_irp,observed
2002,DMI,biomass,20.20949924,Gt/yr,unep_irp,observed
2003,DMI,biomass,20.61578299,Gt/yr,unep_irp,observed
2004,DMI,biomass,21.36032363,Gt/yr,unep_irp,observed
2005,DMI,biomass,21.56971789,Gt/yr,unep_irp,observed
2006,DMI,biomass,21.96751528,Gt/yr,unep_irp,observed
2007,DMI,biomass,22.64598919,Gt/yr,unep_irp,observed
2008,DMI,biomass,23.39737937,Gt/yr,unep_irp,observed
