year,series,value,unit,source,method
1900,C,2.767635232103619,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1901,C,2.869206647337993,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1902,C,2.923951924497406,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1903,C,3.0189649673440546,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1904,C,3.0437710706749295,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1905,C,3.146243322589761,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1906,C,3.3403893007080314,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1907,C,3.39194955773985,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1908,C,3.312319228371058,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1909,C,3.5269803404518605,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1910,C,3.565396199671811,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1911,C,3.6756072944240192,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1912,C,3.789891445556526,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1913,C,3.8750738936386537,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1914,C,3.6671726332308254,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1915,C,3.6888044097203876,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1916,C,3.9358743890155847,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1917,C,3.836498408228716,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1918,C,3.8192329339572586,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1919,C,3.804516965501672,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1920,C,3.8113040222667403,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1921,C,3.8107094412502227,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1922,C,4.0731833222634,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1923,C,4.24620607985538,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1924,C,4.461314298268912,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1925,C,4.616922693928331,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1926,C,4.760584928494727,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1927,C,4.884037953936467,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1928,C,5.026365354452675,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1929,C,5.22285381235205,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1930,C,4.969947348558819,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1931,C,4.72378716834529,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1932,C,4.446160277423733,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
