year,series,value,unit,source,method
1900,gdp_world,3.5037082325207036,trillion 2011 intl USD,maddison2023,interpolated
1901,gdp_world,3.6322933146938934,trillion 2011 intl USD,maddison2023,interpolated
1902,gdp_world,3.7015985020430473,trillion 2011 intl USD,maddison2023,interpolated
1903,gdp_world,3.821880964326062,trillion 2011 intl USD,maddison2023,interpolated
1904,gdp_world,3.853284433774991,trillion 2011 intl USD,maddison2023,interpolated
1905,gdp_world,3.9830099367871905,trillion 2011 intl USD,maddison2023,interpolated
1906,gdp_world,4.228790469551526,trillion 2011 intl USD,maddison2023,interpolated
1907,gdp_world,4.294063557181631,trillion 2011 intl USD,maddison2023,interpolated
1908,gdp_world,4.193254954468582,trillion 2011 intl USD,maddison2023,interpolated
1909,gdp_world,4.465006772365442,trillion 2011 intl USD,maddison2023,interpolated
1910,gdp_world,4.513639612649814,trillion 2011 intl USD,maddison2023,interpolated
1911,gdp_world,4.653162160823523,trillion 2011 intl USD,maddison2023,interpolated
1912,gdp_world,4.79784102475938,trillion 2011 intl USD,maddison2023,interpolated
1913,gdp_world,4.905678373102706,trillion 2011 intl USD,maddison2023,interpolated
1914,gdp_world,4.642484239283027,trillion 2011 intl USD,maddison2023,interpolated
1915,gdp_world,4.669869146257534,trillion 2011 intl USD,maddison2023,interpolated
1916,gdp_world,4.982649208609657,trillion 2011 intl USD,maddison2023,interpolated
1917,gdp_world,4.856843452865927,trillion 2011 intl USD,maddison2023,interpolated
1918,gdp_world,4.834986098384534,trillion 2011 intl USD,maddison2023,interpolated
1919,gdp_world,4.816356309592546,trillion 2011 intl USD,maddison2023,interpolated
1920,gdp_world,4.824948434156693,trillion 2011 intl USD,maddison2023,interpolated
1921,gdp_world,4.824195719933985,trillion 2011 intl USD,maddison2023,interpolated
1922,gdp_world,5.156476465264913,trillion 2011 intl USD,maddison2023,interpolated
1923,gdp_world,5.375515901226884,trillion 2011 intl USD,maddison2023,interpolated
1924,gdp_world,5.647833736682932,trillion 2011 intl USD,maddison2023,interpolated
1925,gdp_world,5.844827332730937,trillion 2011 intl USD,maddison2023,interpolated
1926,gdp_world,6.026697598044049,trillion 2011 intl USD,maddison2023,interpolated
1927,gdp_world,6.182983866029243,trillion 2011 intl USD,maddison2023,interpolated
1928,gdp_world,6.363164288332539,trillion 2011 intl USD,maddison2023,interpolated
1929,gdp_world,6.6119103006508135,trillion 2011 intl USD,maddison2023,interpolated
1930,gdp_world,6.291741497706167,trillion 2011 intl USD,maddison2023,interpolated
1931,gdp_world,5.9801132022109655,trillion 2011 intl USD,maddison2023,interpolated
1932,gdp_world,5.6286493922378416,trillion 2011 intl USD,maddison2023,interpolated
1933,gdp_world,5.712921749526975,trillion 2011 intl USD,maddison2023,interpolated
1934,gdp_world,5.9968123316426825,trillion 2011 intl USD,maddison2023,interpolated
1935,gdp_world,6.343503927536216,trillion 2011 intl USD,maddison2023,interpolated
1936,gdp_world,6.682916907359908,trillion 2011 intl USD,maddison2023,interpolated
1937,gdp_world,7.030351829663813,trillion 2011 intl USD,maddison2023,interpolated
1938,gdp_world,7.0175147401673765,trillion 2011 intl USD,maddison2023,interpolated
1939,gdp_world,7.447756921636267,trillion 2011 intl USD,maddison2023,interpolated
1940,gdp_world,7.646890175460651,trillion 2011 intl USD,maddison2023,interpolated
1941,gdp_world,8.042337270663674,trillion 2011 intl USD,maddison2023,interpolated
1942,gdp_world,8.290005111973334,trillion 2011 intl USD,maddison2023,interpolated
1943,gdp_world,8.556608313879206,trillion 2011 intl USD,maddison2023,interpolated
1944,gdp_world,8.65552922216431,trillion 2011 intl USD,maddison2023,interpolated
1945,gdp_world,7.999598701475249,trillion 2011 intl USD,maddison2023,interpolated
1946,gdp_world,7.42974956039327,trillion 2011 intl USD,maddison2023,interpolated
1947,gdp_world,7.42187384358428,trillion 2011 intl USD,maddison2023,interpolated
