year,series,value,unit,source,method
1900,Omega_model,0.7823867029746053,Gt per trillion 2011 intl USD,krausmann+maddison2023+pwt1001,reconstructed
1901,Omega_model,0.767082432354401,Gt per trillion 2011 intl USD,krausmann+maddison2023+pwt1001,reconstructed
1902,Omega_model,0.7628873656369826,Gt per trillion 2011 intl USD,krausmann+maddison2023+pwt1001,reconstructed
1903,Omega_model,0.7572618734081129,Gt per trillion 2011 intl USD,krausmann+maddison2023+pwt1001,reconstructed
1904,Omega_model,0.7598055329683008,Gt per trillion 2011 intl USD,krausmann+maddison2023+pwt1001,reconstructed
1905,Omega_model,0.7529860300283763,Gt per trillion 2011 intl USD,krausmann+maddison2023+pwt1001,reconstructed
1906,Omega_model,0.7237502539164343,Gt per trillion 2011 intl USD,krausmann+maddison2023+pwt1001,reconstructed
1907,Omega_model,0.7348204634037313,Gt per trillion 2011 intl USD,krausmann+maddison2023+pwt1001,reconstructed
1908,Omega_model,0.754106502703098,Gt per trillion 2011 intl USD,krausmann+maddison2023+pwt1001,reconstructed
1909,Omega_model,0.7231446478218049,Gt per trillion 2011 intl USD,krausmann+maddison2023+pwt1001,reconstructed
1910,Omega_model,0.7284936873859466,Gt per trillion 2011 intl USD,krausmann+maddison2023+pwt1001,reconstructed
1911,Omega_model,0.7154749201797588,Gt per trillion 2011 intl USD,krausmann+maddison2023+pwt1001,reconstructed
1912,Omega_model,0.7096466768666724,Gt per trillion 2011 intl USD,krausmann+maddison2023+pwt1001,reconstructed
1913,Omega_model,0.7122624079604808,Gt per trillion 2011 intl USD,krausmann+maddison2023+pwt1001,reconstructed
1914,Omega_model,0.7380344556975783,Gt per trillion 2011 intl USD,krausmann+maddison2023+pwt1001,reconstructed
1915,Omega_model,0.7364174667352447,Gt per trillion 2011 intl USD,krausmann+maddison2023+pwt1001,reconstructed
1916,Omega_model,0.7079327597545699,Gt per trillion 2011 intl USD,krausmann+maddison2023+pwt1001,reconstructed
1917,Omega_model,0.7362549143048353,Gt per trillion 2011 intl USD,krausmann+maddison2023+pwt1001,reconstructed
1918,Omega_model,0.7433733762419925,Gt per trillion 2011 intl USD,krausmann+maddison2023+pwt1001,reconstructed
1919,Omega_model,0.7269317994448511,Gt per trillion 2011 intl USD,krausmann+maddison2023+pwt1001,reconstructed
1920,Omega_model,0.7553964673178531,Gt per trillion 2011 intl USD,krausmann+maddison2023+pwt1001,reconstructed
1921,Omega_model,0.7365766909616599,Gt per trillion 2011 intl USD,krausmann+maddison2023+pwt1001,reconstructed
1922,Omega_model,0.7133399364046563,Gt per trillion 2011 intl USD,krausmann+maddison2023+pwt1001,reconstructed
1923,Omega_model,0.7096764205336425,Gt per trillion 2011 intl USD,krausmann+maddison2023+pwt1001,reconstructed
1924,Omega_model,0.6870296092041548,Gt per trillion 2011 intl USD,krausmann+maddison2023+pwt1001,reconstructed
1925,Omega_model,0.6762254556034127,Gt per trillion 2011 intl USD,krausmann+maddison2023+pwt1001,reconstructed
1926,Omega_model,0.6657120993612891,Gt per trillion 2011 intl USD,krausmann+maddison2023+pwt1001,reconstructed
1927,Omega_model,0.6669808476061376,Gt per trillion 2011 intl USD,krausmann+maddison2023+pwt1001,reconstructed
1928,Omega_model,0.6655991529730314,Gt per trillion 2011 intl USD,krausmann+maddison2023+pwt1001,reconstructed
1929,Omega_model,0.6497588802251387,Gt per trillion 2011 intl USD,krausmann+maddison2023+pwt1001,reconstructed
1930,Omega_model,0.6743764141829247,Gt per trillion 2011 intl USD,krausmann+maddison2023+pwt1001,reconstructed
1931,Omega_model,0.6921854743700281,Gt per trillion 2011 intl USD,krausmann+maddison2023+pwt1001,reconstructed
1932,Omega_model,0.7159497051576348,Gt per trillion 2011 intl USD,krausmann+maddison2023+pwt1001,reconstructed
1933,Omega_model,0.7162102309956395,Gt per trillion 2011 intl USD,krausmann+maddison2023+pwt1001,reconstructed
1934,Omega_model,0.7051101669882743,Gt per trillion 2011 intl USD,krausmann+maddison2023+pwt1001,reconstructed
1935,Omega_model,0.6805690958928167,Gt per trillion 2011 intl USD,krausmann+maddison2023+pwt1001,reconstructed
1936,Omega_model,0.6652143558138423,Gt per trillion 2011 intl USD,krausmann+maddison2023+pwt1001,reconstructed
1937,Omega_model,0.6572961964476963,Gt per trillion 2011 intl USD,krausmann+maddison2023+pwt1001,reconstructed
1938,Omega_model,0.6498242746594373,Gt per trillion 2011 intl USD,krausmann+maddison2023+pwt1001,reconstructed
1939,Omega_model,0.6306924555480177,Gt per trillion 2011 intl USD,krausmann+maddison2023+pwt1001,reconstructed
1940,Omega_model,0.628932915890405,Gt per trillion 2011 intl USD,krausmann+maddison2023+pwt1001,reconstructed
1941,Omega_model,0.6089029836210418,Gt per trillion 2011 intl USD,krausmann+maddison2023+pwt1001,reconstructed
1942,Omega_model,0.5913695584520459,Gt per trillion 2011 intl USD,krausmann+maddison2023+pwt1001,reconstructed
1943,Omega_model,0.5783436596954786,Gt per trillion 2011 intl USD,krausmann+maddison2023+pwt1001,reconstructed
1944,Omega_model,0.5687078987423547,Gt per trillion 2011 intl USD,krausmann+maddison2023+pwt1001,reconstructed
1945,Omega_model,0.5925036951405552,Gt per trillion 2011 intl USD,krausmann+maddison2023+pwt1001,reconstructed
1946,Omega_model,0.6580246964635512,Gt per trillion 2011 intl USD,krausmann+maddison2023+pwt1001,reconstructed
1947,Omega_model,0.6900352865612283,Gt per trillion 2011 intl USD,krausmann+maddison2023+pwt1001,reconstructed
1948,Omega_model,0.6799558541301548,Gt per trillion 2011 intl USD,krausmann+maddison2023+pwt1001,reconstructed
