year,series,value,unit,source,method
1870,government_wealth_over_national_income_usa,-0.08504903968325583,ratio to national income,piketty_zucman2014,observed
1871,government_wealth_over_national_income_usa,-0.06172612365101965,ratio to national income,piketty_zucman2014,observed
1872,government_wealth_over_national_income_usa,-0.04239823083720695,ratio to national income,piketty_zucman2014,observed
1873,government_wealth_over_national_income_usa,-0.0373923006847981,ratio to national income,piketty_zucman2014,observed
1874,government_wealth_over_national_income_usa,-0.04406495531756627,ratio to national income,piketty_zucman2014,observed
1875,government_wealth_over_national_income_usa,-0.043338371825946964,ratio to national income,piketty_zucman2014,observed
1876,government_wealth_over_national_income_usa,-0.038300529537501904,ratio to national income,piketty_zucman2014,observed
1877,government_wealth_over_national_income_usa,-0.040083141235416564,ratio to national income,piketty_zucman2014,observed
1878,government_wealth_over_national_income_usa,-0.03769121717646179,ratio to national income,piketty_zucman2014,observed
1879,government_wealth_over_national_income_usa,-0.010434290131512813,ratio to national income,piketty_zucman2014,observed
1880,government_wealth_over_national_income_usa,0.03780926691936082,ratio to national income,piketty_zucman2014,observed
1881,government_wealth_over_national_income_usa,0.06654955751562242,ratio to national income,piketty_zucman2014,observed
1882,government_wealth_over_national_income_usa,0.10197194755332212,ratio to national income,piketty_zucman2014,observed
1883,government_wealth_over_national_income_usa,0.12043559117227937,ratio to national income,piketty_zucman2014,observed
1884,government_wealth_over_national_income_usa,0.1424179556912235,ratio to national income,piketty_zucman2014,observed
1885,government_wealth_over_national_income_usa,0.16351116382428282,ratio to national income,piketty_zucman2014,observed
1886,government_wealth_over_national_income_usa,0.1936555739008976,ratio to national income,piketty_zucman2014,observed
1887,government_wealth_over_national_income_usa,0.22302563285684873,ratio to national income,piketty_zucman2014,observed
1888,government_wealth_over_national_income_usa,0.2462995776236833,ratio to national income,piketty_zucman2014,observed
1889,government_wealth_over_national_income_usa,0.26192461701783476,ratio to national income,piketty_zucman2014,observed
1890,government_wealth_over_national_income_usa,0.2907284802965545,ratio to national income,piketty_zucman2014,observed
1891,government_wealth_over_national_income_usa,0.29497240718369994,ratio to national income,piketty_zucman2014,observed
1892,government_wealth_over_national_income_usa,0.2819991246543322,ratio to national income,piketty_zucman2014,observed
1893,government_wealth_over_national_income_usa,0.27367102390841963,ratio to national income,piketty_zucman2014,observed
1894,government_wealth_over_national_income_usa,0.2890277135012187,ratio to national income,piketty_zucman2014,observed
1895,government_wealth_over_national_income_usa,0.2645927314413283,ratio to national income,piketty_zucman2014,observed
