year,series,commodity,value,unit,source,method
1900,jacks_aggregate_index,equal_weights_42_commodities,100.0,index_1900=100,jacks2019,observed
1901,jacks_aggregate_index,equal_weights_42_commodities,95.51,index_1900=100,jacks2019,observed
1902,jacks_aggregate_index,equal_weights_42_commodities,94.36,index_1900=100,jacks2019,observed
1903,jacks_aggregate_index,equal_weights_42_commodities,95.54,index_1900=100,jacks2019,observed
1904,jacks_aggregate_index,equal_weights_42_commodities,96.25,index_1900=100,jacks2019,observed
1905,jacks_aggregate_index,equal_weights_42_commodities,101.63,index_1900=100,jacks2019,observed
1906,jacks_aggregate_index,equal_weights_42_commodities,105.7,index_1900=100,jacks2019,observed
1907,jacks_aggregate_index,equal_weights_42_commodities,108.14,index_1900=100,jacks2019,observed
1908,jacks_aggregate_index,equal_weights_42_commodities,99.45,index_1900=100,jacks2019,observed
1909,jacks_aggregate_index,equal_weights_42_commodities,106.69,index_1900=100,jacks2019,observed
1910,jacks_aggregate_index,equal_weights_42_commodities,104.45,index_1900=100,jacks2019,observed
1911,jacks_aggregate_index,equal_weights_42_commodities,105.67,index_1900=100,jacks2019,observed
1912,jacks_aggregate_index,equal_weights_42_commodities,105.18,index_1900=100,jacks2019,observed
1913,jacks_aggregate_index,equal_weights_42_commodities,101.84,index_1900=100,jacks2019,observed
1914,jacks_aggregate_index,equal_weights_42_commodities,97.15,index_1900=100,jacks2019,observed
1915,jacks_aggregate_index,equal_weights_42_commodities,113.34,index_1900=100,jacks2019,observed
1916,jacks_aggregate_index,equal_weights_42_commodities,138.76,index_1900=100,jacks2019,observed
1917,jacks_aggregate_index,equal_weights_42_commodities,143.23,index_1900=100,jacks2019,observed
1918,jacks_aggregate_index,equal_weights_42_commodities,129.65,index_1900=100,jacks2019,observed
1919,jacks_aggregate_index,equal_weights_42_commodities,116.19,index_1900=100,jacks2019,observed
1920,jacks_aggregate_index,equal_weights_42_commodities,94.88,index_1900=100,jacks2019,observed
1921,jacks_aggregate_index,equal_weights_42_commodities,69.42,index_1900=100,jacks2019,observed
1922,jacks_aggregate_index,equal_weights_42_commodities,75.11,index_1900=100,jacks2019,observed
1923,jacks_aggregate_index,equal_weights_42_commodities,80.69,index_1900=100,jacks2019,observed
1924,jacks_aggregate_index,equal_weights_42_commodities,82.45,index_1900=100,jacks2019,observed
1925,jacks_aggregate_index,equal_weights_42_commodities,84.49,index_1900=100,jacks2019,observed
1926,jacks_aggregate_index,equal_weights_42_commodities,78.63,index_1900=100,jacks2019,observed
1927,jacks_aggregate_index,equal_weights_42_commodities,76.33,index_1900=100,jacks2019,observed
1928,jacks_aggregate_index,equal_weights_42_commodities,77.05,index_1900=100,jacks2019,observed
1929,jacks_aggregate_index,equal_weights_42_commodities,74.72,index_1900=100,jacks2019,observed
1930,jacks_aggregate_index,equal_weights_42_commodities,64.55,index_1900=100,jacks2019,observed
1931,jacks_aggregate_index,equal_weights_42_commodities,57.89,index_1900=100,jacks2019,observed
1932,jacks_aggregate_index,equal_weights_42_commodities,55.59,index_1900=100,jacks2019,observed
1933,jacks_aggregate_index,equal_weights_42_commodities,68.16,index_1900=100,jacks2019,observed
1934,jacks_aggregate_index,equal_weights_42_commodities,77.95,index_1900=100,jacks2019,observed
1935,jacks_aggregate_index,equal_weights_42_commodities,79.76,index_1900=100,jacks2019,observed
1936,jacks_aggregate_index,equal_weights_42_commodities,85.49,index_1900=100,jacks2019,observed
1937,jacks_aggregate_index,equal_weights_42_commodities,87.2,index_1900=100,jacks2019,observed
1938,jacks_aggregate_index,equal_weights_42_commodities,76.31,index_1900=100,jacks2019,observed
1939,jacks_aggregate_index,equal_weights_42_commodities,74.38,index_1900=100,jacks2019,observed
1940,jacks_aggregate_index,equal_weights_42_commodities,74.91,index_1900=100,jacks2019,observed
1941,jacks_aggregate_index,equal_weights_42_commodities,83.42,index_1900=100,jacks2019,observed
1942,jacks_aggregate_index,equal_weights_42_commodities,84.01,index_1900=100,jacks2019,observed
1943,jacks_aggregate_index,equal_weights_42_commodities,86.77,index_1900=100,jacks2019,observed
1944,jacks_aggregate_index,equal_weights_42_commodities,88.4,index_1900=100,jacks2019,observed
1945,jacks_aggregate_index,equal_weights_42_commodities,88.62,index_1900=100,jacks2019,observed
1946,jacks_aggregate_index,equal_weights_42_commodities,95.3,index_1900=100,jacks2019,observed
1947,jacks_aggregate_index,equal_weights_42_commodities,102.17,index_1900=100,jacks2019,observed
1948,jacks_aggregate_index,equal_weights_42_commodities,95.7,index_1900=100,jacks2019,observed
1949,jacks_aggregate_index,equal_weights_42_commodities,89.24,index_1900=100,jacks2019,observed
1950,jacks_aggregate_index,equal_weights_42_commodities,94.85,index_1900=100,jacks2019,observed
1951,jacks_aggregate_index,equal_weights_42_commodities,97.13,index_1900=100,jacks2019,observed
1952,jacks_aggregate_index,equal_weights_42_commodities,91.39,index_1900=100,jacks2019,observed
1953,jacks_aggregate_index,equal_weights_42_commodities,89.58,index_1900=100,jacks2019,observed
1954,jacks_aggregate_index,equal_weights_42_commodities,91.74,index_1900=100,jacks2019,observed
1955,jacks_aggregate_index,equal_weights_42_commodities,88.81,index_1900=100,jacks2019,observed
1956,jacks_aggregate_index,equal_weights_42_commodities,93.64,index_1900=100,jacks2019,observed
1957,jacks_aggregate_index,equal_weights_42_commodities,90.01,index_1900=100,jacks2019,observed
1958,jacks_aggregate_index,equal_weights_42_commodities,84.39,index_1900=100,jacks2019,observed
1959,jacks_aggregate_index,equal_weights_42_commodities,88.56,index_1900=100,jacks2019,observed
1960,jacks_aggregate_index,equal_weights_42_commodities,90.12,index_1900=100,jacks2019,observed
1961,jacks_aggregate_index,equal_weights_42_commodities,87.46,index_1900=100,jacks2019,observed
1962,jacks_aggregate_index,equal_weights_42_commodities,86.91,index_1900=100,jacks2019,observed
1963,jacks_aggregate_index,equal_weights_42_commodities,87.63,index_1900=100,jacks2019,observed
1964,jacks_aggregate_index,equal_weights_42_commodities,89.43,index_1900=100,jacks2019,observed
1965,jacks_aggregate_index,equal_weights_42_commodities,88.18,index_1900=100,jacks2019,observed
1966,jacks_aggregate_index,equal_weights_42_commodities,89.69,index_1900=100,jacks2019,observed
1967,jacks_aggregate_index,equal_weights_42_commodities,87.42,index_1900=100,jacks2019,observed
