year,series,commodity,value,unit,source,method
2016,average_ore_grade,copper,1.48,"percent [p10, 25 copper mines analysed, about 32 percent of 2009 world production]",calvo2016_resources_5_36,transcribed
1990,average_ore_grade,copper,1.67,"percent [p10, quoting Cox and Singer for about 1990]",calvo2016_resources_5_36,transcribed
2016,average_ore_grade,gold,5.26,"g_per_t [p10, mines analysed]",calvo2016_resources_5_36,transcribed
2016,average_ore_grade,lead,3.4,"percent [p10, mines analysed]",calvo2016_resources_5_36,transcribed
2016,average_ore_grade,zinc,9.6,"percent [p10, mines analysed]",calvo2016_resources_5_36,transcribed
2016,average_total_energy_per_tonne_metal,copper,28.2,"GJ_per_t [p9, sample average over the mines of Table 1]",calvo2016_resources_5_36,transcribed
2016,average_total_energy_per_tonne_metal,gold,145888.0,GJ_per_t [p9],calvo2016_resources_5_36,transcribed
2016,average_total_energy_per_tonne_metal,zinc,11.03,GJ_per_t [p9],calvo2016_resources_5_36,transcribed
2013,ore_grade_change_2003_2013,copper,-25.0,"percent [p10, combined weighted average decline across the mines analysed, 2003 to 2013]",calvo2016_resources_5_36,transcribed
2013,ore_grade_change_2003_2013,copper_el_soldado,-72.9,"percent [p10, El Soldado oxide ore 1.7 percent in 2003 to 0.46 percent in 2012]",calvo2016_resources_5_36,transcribed
2000,diesel_per_tonne_rock,agnew[au][OC+UG],0.6,L_per_t_rock (period 1991-2009),calvo2016_resources_5_36:table1,transcribed
2010,diesel_per_tonne_rock,aguablanca[ni_cu][OC],0.5,L_per_t_rock (period 2007-2014),calvo2016_resources_5_36:table1,transcribed
2006,diesel_per_tonne_rock,chuquicamata[cu_mo][OC],1.2,L_per_t_rock (period 2000-2013),calvo2016_resources_5_36:table1,transcribed
2008,diesel_per_tonne_rock,collahuasi[cu_mo][OC],1.4,L_per_t_rock (period 2002-2014),calvo2016_resources_5_36:table1,transcribed
2007,diesel_per_tonne_rock,division_andina[cu_mo_ag][OC+UG],1.9,L_per_t_rock (period 2001-2013),calvo2016_resources_5_36:table1,transcribed
2008,diesel_per_tonne_rock,el_soldado[cu][OC+UG],0.4,L_per_t_rock (period 2002-2014),calvo2016_resources_5_36:table1,transcribed
2010,diesel_per_tonne_rock,el_tesoro[cu][OC],0.3,L_per_t_rock (period 2007-2014),calvo2016_resources_5_36:table1,transcribed
2007,diesel_per_tonne_rock,escondida[cu][OC],0.7,L_per_t_rock (period 2001-2014),calvo2016_resources_5_36:table1,transcribed
2001,diesel_per_tonne_rock,granny_smith[au][OC+UG],2.5,L_per_t_rock (period 1989-2013),calvo2016_resources_5_36:table1,transcribed
2008,diesel_per_tonne_rock,los_bronces[cu_mo][OC],0.9,L_per_t_rock (period 2002-2014),calvo2016_resources_5_36:table1,transcribed
2010,diesel_per_tonne_rock,los_pelambres[cu_mo][OC],0.4,L_per_t_rock (period 2007-2014),calvo2016_resources_5_36:table1,transcribed
2008,diesel_per_tonne_rock,mantoverde[cu][OC],0.7,L_per_t_rock (period 2002-2014),calvo2016_resources_5_36:table1,transcribed
2010,diesel_per_tonne_rock,michilla[cu][OC+UG],0.5,L_per_t_rock (period 2007-2014),calvo2016_resources_5_36:table1,transcribed
2008,diesel_per_tonne_rock,mount_isa_cu[cu_ag][UG],1.1,L_per_t_rock (period 2005-2012),calvo2016_resources_5_36:table1,transcribed
2010,diesel_per_tonne_rock,neves_corvo[zn_cu_pb_ag][UG],0.6,L_per_t_rock (period 2007-2014),calvo2016_resources_5_36:table1,transcribed
2002,diesel_per_tonne_rock,olympic_dam[cu_u_ag_au][UG],2.8,L_per_t_rock (period 1991-2014),calvo2016_resources_5_36:table1,transcribed
2011,diesel_per_tonne_rock,prominent_hill[cu_ag][OC],0.5,L_per_t_rock (period 2009-2014),calvo2016_resources_5_36:table1,transcribed
2012,diesel_per_tonne_rock,radomiro_tomic[cu][OC],1.5,L_per_t_rock (period 2011-2013),calvo2016_resources_5_36:table1,transcribed
2007,diesel_per_tonne_rock,salvador[cu_mo_ag_au][OC+UG],0.8,L_per_t_rock (period 2001-2013),calvo2016_resources_5_36:table1,transcribed
2011,diesel_per_tonne_rock,sepon[cu_au][OC],2.3,L_per_t_rock (period 2008-2014),calvo2016_resources_5_36:table1,transcribed
2000,diesel_per_tonne_rock,st_ives[au][OC+UG],1.5,L_per_t_rock (period 1991-2009),calvo2016_resources_5_36:table1,transcribed
2010,diesel_per_tonne_rock,zinkgruvan[zn_pb_cu_ag][UG],1.0,L_per_t_rock (period 2007-2014),calvo2016_resources_5_36:table1,transcribed
2000,electricity_per_tonne_ore,agnew[au][OC+UG],43.0,kWh_per_t_ore (period 1991-2009),calvo2016_resources_5_36:table1,transcribed
2010,electricity_per_tonne_ore,aguablanca[ni_cu][OC],44.0,kWh_per_t_ore (period 2007-2014),calvo2016_resources_5_36:table1,transcribed
2005,electricity_per_tonne_ore,bingham_canyon[cu_au][OC],112.0,kWh_per_t_ore (period 2003-2007),calvo2016_resources_5_36:table1,transcribed
2006,electricity_per_tonne_ore,cadia_valley[cu_au][OC],53.0,kWh_per_t_ore (period 2004-2009),calvo2016_resources_5_36:table1,transcribed
2011,electricity_per_tonne_ore,century[zn_pb_ag][OC],120.0,kWh_per_t_ore (period 2009-2014),calvo2016_resources_5_36:table1,transcribed
2010,electricity_per_tonne_ore,cerro_lindo[zn_pb_cu][UG],29.0,kWh_per_t_ore (period 2008-2013),calvo2016_resources_5_36:table1,transcribed
2006,electricity_per_tonne_ore,chuquicamata[cu_mo][OC],46.0,kWh_per_t_ore (period 2000-2013),calvo2016_resources_5_36:table1,transcribed
2008,electricity_per_tonne_ore,collahuasi[cu_mo][OC],20.0,kWh_per_t_ore (period 2002-2014),calvo2016_resources_5_36:table1,transcribed
2000,electricity_per_tonne_ore,darlot[au][UG],80.0,kWh_per_t_ore (period 1993-2007),calvo2016_resources_5_36:table1,transcribed
2007,electricity_per_tonne_ore,division_andina[cu_mo_ag][OC+UG],25.0,kWh_per_t_ore (period 2001-2013),calvo2016_resources_5_36:table1,transcribed
2010,electricity_per_tonne_ore,el_porvenir[zn_pb_cu][UG],53.0,kWh_per_t_ore (period 2008-2013),calvo2016_resources_5_36:table1,transcribed
2008,electricity_per_tonne_ore,el_soldado[cu][OC+UG],28.0,kWh_per_t_ore (period 2002-2014),calvo2016_resources_5_36:table1,transcribed
2007,electricity_per_tonne_ore,el_teniente[cu_mo_ag_au][UG],39.0,kWh_per_t_ore (period 2001-2013),calvo2016_resources_5_36:table1,transcribed
2010,electricity_per_tonne_ore,el_tesoro[cu][OC],31.0,kWh_per_t_ore (period 2007-2014),calvo2016_resources_5_36:table1,transcribed
2002,electricity_per_tonne_ore,ernest_henry[cu_au][OC],49.0,kWh_per_t_ore (period 1998-2007),calvo2016_resources_5_36:table1,transcribed
2007,electricity_per_tonne_ore,escondida[cu][OC],31.0,kWh_per_t_ore (period 2001-2014),calvo2016_resources_5_36:table1,transcribed
2011,electricity_per_tonne_ore,golden_grove[zn_cu_ag_au][UG],55.0,kWh_per_t_ore (period 2009-2014),calvo2016_resources_5_36:table1,transcribed
2001,electricity_per_tonne_ore,granny_smith[au][OC+UG],199.0,kWh_per_t_ore (period 1989-2013),calvo2016_resources_5_36:table1,transcribed
2008,electricity_per_tonne_ore,los_bronces[cu_mo][OC],20.0,kWh_per_t_ore (period 2002-2014),calvo2016_resources_5_36:table1,transcribed
2010,electricity_per_tonne_ore,los_pelambres[cu_mo][OC],27.0,kWh_per_t_ore (period 2007-2014),calvo2016_resources_5_36:table1,transcribed
