year,series,commodity,value,unit,source,method
2025,resources_high,bauxite,75000000000.0,t_gross_weight,usgs_mcs2026:p51,transcribed
2025,resources_low,bauxite,55000000000.0,t_gross_weight,usgs_mcs2026:p51,transcribed
2005,historical_production_to_2005,coal,6712.0,EJ,rogner2012_gea_ch7:table7.1_p431,transcribed
2005,historical_production_to_2005_mass,coal,260.1550387596899,Gt,rogner2012_gea_ch7:table7.1_p431+ipcc2006_v2_ch1_table1.2,derived
2005,production_2005,coal,123.8,EJ,rogner2012_gea_ch7:table7.1_p431,transcribed
2005,production_2005_mass,coal,4.7984496124031,Gt,rogner2012_gea_ch7:table7.1_p431+ipcc2006_v2_ch1_table1.2,derived
2005,reserves_high,coal,21000.0,EJ,rogner2012_gea_ch7:table7.1_p431,transcribed
2005,reserves_high_mass,coal,813.953488372093,Gt,rogner2012_gea_ch7:table7.1_p431+ipcc2006_v2_ch1_table1.2,derived
2005,reserves_low,coal,17300.0,EJ,rogner2012_gea_ch7:table7.1_p431,transcribed
2005,reserves_low_mass,coal,670.5426356589147,Gt,rogner2012_gea_ch7:table7.1_p431+ipcc2006_v2_ch1_table1.2,derived
2005,resources_high,coal,435000.0,EJ,rogner2012_gea_ch7:table7.1_p431,transcribed
2005,resources_high_mass,coal,16860.46511627907,Gt,rogner2012_gea_ch7:table7.1_p431+ipcc2006_v2_ch1_table1.2,derived
2005,resources_low,coal,291000.0,EJ,rogner2012_gea_ch7:table7.1_p431,transcribed
2005,resources_low_mass,coal,11279.06976744186,Gt,rogner2012_gea_ch7:table7.1_p431+ipcc2006_v2_ch1_table1.2,derived
2005,historical_production_to_2005,conventional_gas,3087.0,EJ,rogner2012_gea_ch7:table7.1_p431,transcribed
2005,historical_production_to_2005_mass,conventional_gas,64.3125,Gt,rogner2012_gea_ch7:table7.1_p431+ipcc2006_v2_ch1_table1.2,derived
2005,production_2005,conventional_gas,89.8,EJ,rogner2012_gea_ch7:table7.1_p431,transcribed
2005,production_2005_mass,conventional_gas,1.8708333333333333,Gt,rogner2012_gea_ch7:table7.1_p431+ipcc2006_v2_ch1_table1.2,derived
2005,reserves_high,conventional_gas,7100.0,EJ,rogner2012_gea_ch7:table7.1_p431,transcribed
2005,reserves_high_mass,conventional_gas,147.91666666666666,Gt,rogner2012_gea_ch7:table7.1_p431+ipcc2006_v2_ch1_table1.2,derived
2005,reserves_low,conventional_gas,5000.0,EJ,rogner2012_gea_ch7:table7.1_p431,transcribed
2005,reserves_low_mass,conventional_gas,104.16666666666667,Gt,rogner2012_gea_ch7:table7.1_p431+ipcc2006_v2_ch1_table1.2,derived
2005,resources_high,conventional_gas,8900.0,EJ,rogner2012_gea_ch7:table7.1_p431,transcribed
2005,resources_high_mass,conventional_gas,185.41666666666666,Gt,rogner2012_gea_ch7:table7.1_p431+ipcc2006_v2_ch1_table1.2,derived
2005,resources_low,conventional_gas,7200.0,EJ,rogner2012_gea_ch7:table7.1_p431,transcribed
2005,resources_low_mass,conventional_gas,150.0,Gt,rogner2012_gea_ch7:table7.1_p431+ipcc2006_v2_ch1_table1.2,derived
2005,historical_production_to_2005,conventional_oil,6069.0,EJ,rogner2012_gea_ch7:table7.1_p431,transcribed
2005,historical_production_to_2005_mass,conventional_oil,143.47517730496455,Gt,rogner2012_gea_ch7:table7.1_p431+ipcc2006_v2_ch1_table1.2,derived
2005,production_2005,conventional_oil,147.9,EJ,rogner2012_gea_ch7:table7.1_p431,transcribed
2005,production_2005_mass,conventional_oil,3.4964539007092204,Gt,rogner2012_gea_ch7:table7.1_p431+ipcc2006_v2_ch1_table1.2,derived
2005,reserves_high,conventional_oil,7610.0,EJ,rogner2012_gea_ch7:table7.1_p431,transcribed
2005,reserves_high_mass,conventional_oil,179.90543735224588,Gt,rogner2012_gea_ch7:table7.1_p431+ipcc2006_v2_ch1_table1.2,derived
2005,reserves_low,conventional_oil,4900.0,EJ,rogner2012_gea_ch7:table7.1_p431,transcribed
2005,reserves_low_mass,conventional_oil,115.83924349881798,Gt,rogner2012_gea_ch7:table7.1_p431+ipcc2006_v2_ch1_table1.2,derived
2005,resources_high,conventional_oil,6150.0,EJ,rogner2012_gea_ch7:table7.1_p431,transcribed
2005,resources_high_mass,conventional_oil,145.39007092198582,Gt,rogner2012_gea_ch7:table7.1_p431+ipcc2006_v2_ch1_table1.2,derived
2005,resources_low,conventional_oil,4170.0,EJ,rogner2012_gea_ch7:table7.1_p431,transcribed
2005,resources_low_mass,conventional_oil,98.58156028368795,Gt,rogner2012_gea_ch7:table7.1_p431+ipcc2006_v2_ch1_table1.2,derived
2005,historical_production_to_2005,conventional_uranium,1218.0,EJ,rogner2012_gea_ch7:table7.1_p431,transcribed
