year,series,region_or_material,value,unit,source,method
2014,allwaste_dsp_i_kg_per_head,AL,13.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2022,allwaste_dsp_i_kg_per_head,AL,44.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed_flag_d
2004,allwaste_dsp_i_kg_per_head,AT,227.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2006,allwaste_dsp_i_kg_per_head,AT,169.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2008,allwaste_dsp_i_kg_per_head,AT,192.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2010,allwaste_dsp_i_kg_per_head,AT,197.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2012,allwaste_dsp_i_kg_per_head,AT,9.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2022,allwaste_dsp_i_kg_per_head,BA,1.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2004,allwaste_dsp_i_kg_per_head,BE,246.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed_flag_e
2006,allwaste_dsp_i_kg_per_head,BE,225.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2008,allwaste_dsp_i_kg_per_head,BE,363.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2010,allwaste_dsp_i_kg_per_head,BE,181.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2012,allwaste_dsp_i_kg_per_head,BE,245.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2014,allwaste_dsp_i_kg_per_head,BE,151.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2016,allwaste_dsp_i_kg_per_head,BE,159.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2018,allwaste_dsp_i_kg_per_head,BE,153.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2020,allwaste_dsp_i_kg_per_head,BE,51.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2022,allwaste_dsp_i_kg_per_head,BE,29.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2004,allwaste_dsp_i_kg_per_head,BG,19.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2006,allwaste_dsp_i_kg_per_head,BG,26.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2008,allwaste_dsp_i_kg_per_head,BG,8.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2010,allwaste_dsp_i_kg_per_head,BG,0.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2012,allwaste_dsp_i_kg_per_head,BG,2.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2014,allwaste_dsp_i_kg_per_head,BG,3.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2016,allwaste_dsp_i_kg_per_head,BG,2.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2018,allwaste_dsp_i_kg_per_head,BG,1.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2020,allwaste_dsp_i_kg_per_head,BG,15.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2022,allwaste_dsp_i_kg_per_head,BG,0.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2004,allwaste_dsp_i_kg_per_head,CY,12.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2006,allwaste_dsp_i_kg_per_head,CY,19.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2008,allwaste_dsp_i_kg_per_head,CY,18.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2010,allwaste_dsp_i_kg_per_head,CY,8.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2012,allwaste_dsp_i_kg_per_head,CY,8.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2014,allwaste_dsp_i_kg_per_head,CY,0.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2016,allwaste_dsp_i_kg_per_head,CY,0.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2018,allwaste_dsp_i_kg_per_head,CY,0.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2020,allwaste_dsp_i_kg_per_head,CY,0.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2022,allwaste_dsp_i_kg_per_head,CY,0.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2004,allwaste_dsp_i_kg_per_head,CZ,4.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2006,allwaste_dsp_i_kg_per_head,CZ,7.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2008,allwaste_dsp_i_kg_per_head,CZ,7.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2010,allwaste_dsp_i_kg_per_head,CZ,5.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2012,allwaste_dsp_i_kg_per_head,CZ,7.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2014,allwaste_dsp_i_kg_per_head,CZ,8.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2016,allwaste_dsp_i_kg_per_head,CZ,8.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2018,allwaste_dsp_i_kg_per_head,CZ,9.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed_flag_b
2020,allwaste_dsp_i_kg_per_head,CZ,8.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2022,allwaste_dsp_i_kg_per_head,CZ,7.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2004,allwaste_dsp_i_kg_per_head,DE,176.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2006,allwaste_dsp_i_kg_per_head,DE,185.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2008,allwaste_dsp_i_kg_per_head,DE,169.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2010,allwaste_dsp_i_kg_per_head,DE,155.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2012,allwaste_dsp_i_kg_per_head,DE,137.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2014,allwaste_dsp_i_kg_per_head,DE,103.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2016,allwaste_dsp_i_kg_per_head,DE,55.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2018,allwaste_dsp_i_kg_per_head,DE,23.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2020,allwaste_dsp_i_kg_per_head,DE,24.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2022,allwaste_dsp_i_kg_per_head,DE,21.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2004,allwaste_dsp_i_kg_per_head,DK,586.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2006,allwaste_dsp_i_kg_per_head,DK,0.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2008,allwaste_dsp_i_kg_per_head,DK,0.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2010,allwaste_dsp_i_kg_per_head,DK,0.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2012,allwaste_dsp_i_kg_per_head,DK,1.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2014,allwaste_dsp_i_kg_per_head,DK,1.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2016,allwaste_dsp_i_kg_per_head,DK,1.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2018,allwaste_dsp_i_kg_per_head,DK,1.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2020,allwaste_dsp_i_kg_per_head,DK,0.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2022,allwaste_dsp_i_kg_per_head,DK,1.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2004,allwaste_dsp_i_kg_per_head,EE,2.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2006,allwaste_dsp_i_kg_per_head,EE,0.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2008,allwaste_dsp_i_kg_per_head,EE,0.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2010,allwaste_dsp_i_kg_per_head,EE,0.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2012,allwaste_dsp_i_kg_per_head,EE,0.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2014,allwaste_dsp_i_kg_per_head,EE,0.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2016,allwaste_dsp_i_kg_per_head,EE,0.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2018,allwaste_dsp_i_kg_per_head,EE,0.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2020,allwaste_dsp_i_kg_per_head,EE,0.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2022,allwaste_dsp_i_kg_per_head,EE,0.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
2004,allwaste_dsp_i_kg_per_head,EL,0.0,kg_per_head,"Eurostat env_wastrt, treatment of waste by waste category, hazardousness and waste management operations",observed
