year,series,region_or_material,value,unit,source,method
2005,msw_compost,ARG,0.0,tonnes,"OECD Environment Statistics, Municipal waste: generation and treatment (OECD.ENV.EPI, DSD_MUNW@DF_MUNW)",observed_status_A
2010,msw_compost,ARG,0.0,tonnes,"OECD Environment Statistics, Municipal waste: generation and treatment (OECD.ENV.EPI, DSD_MUNW@DF_MUNW)",observed_status_A
2007,msw_compost,AUS,1978217.6969752,tonnes,"OECD Environment Statistics, Municipal waste: generation and treatment (OECD.ENV.EPI, DSD_MUNW@DF_MUNW)",observed_status_A
2008,msw_compost,AUS,923500.0,tonnes,"OECD Environment Statistics, Municipal waste: generation and treatment (OECD.ENV.EPI, DSD_MUNW@DF_MUNW)",observed_status_E
2009,msw_compost,AUS,2129220.9569575004,tonnes,"OECD Environment Statistics, Municipal waste: generation and treatment (OECD.ENV.EPI, DSD_MUNW@DF_MUNW)",observed_status_A
2010,msw_compost,AUS,2155767.8238847004,tonnes,"OECD Environment Statistics, Municipal waste: generation and treatment (OECD.ENV.EPI, DSD_MUNW@DF_MUNW)",observed_status_A
2011,msw_compost,AUS,2515791.3789301002,tonnes,"OECD Environment Statistics, Municipal waste: generation and treatment (OECD.ENV.EPI, DSD_MUNW@DF_MUNW)",observed_status_A
2012,msw_compost,AUS,1521333.333,tonnes,"OECD Environment Statistics, Municipal waste: generation and treatment (OECD.ENV.EPI, DSD_MUNW@DF_MUNW)",observed_status_E
2013,msw_compost,AUS,1792666.667,tonnes,"OECD Environment Statistics, Municipal waste: generation and treatment (OECD.ENV.EPI, DSD_MUNW@DF_MUNW)",observed_status_E
2014,msw_compost,AUS,3114557.5342420004,tonnes,"OECD Environment Statistics, Municipal waste: generation and treatment (OECD.ENV.EPI, DSD_MUNW@DF_MUNW)",observed_status_A
2015,msw_compost,AUS,3119691.006226,tonnes,"OECD Environment Statistics, Municipal waste: generation and treatment (OECD.ENV.EPI, DSD_MUNW@DF_MUNW)",observed_status_A
2016,msw_compost,AUS,2678796.9701775,tonnes,"OECD Environment Statistics, Municipal waste: generation and treatment (OECD.ENV.EPI, DSD_MUNW@DF_MUNW)",observed_status_A
2017,msw_compost,AUS,2455199.0334457,tonnes,"OECD Environment Statistics, Municipal waste: generation and treatment (OECD.ENV.EPI, DSD_MUNW@DF_MUNW)",observed_status_A
2018,msw_compost,AUS,2490489.7597385,tonnes,"OECD Environment Statistics, Municipal waste: generation and treatment (OECD.ENV.EPI, DSD_MUNW@DF_MUNW)",observed_status_A
2019,msw_compost,AUS,2576144.5464503,tonnes,"OECD Environment Statistics, Municipal waste: generation and treatment (OECD.ENV.EPI, DSD_MUNW@DF_MUNW)",observed_status_A
2020,msw_compost,AUS,2676984.9171195,tonnes,"OECD Environment Statistics, Municipal waste: generation and treatment (OECD.ENV.EPI, DSD_MUNW@DF_MUNW)",observed_status_A
2021,msw_compost,AUS,3081890.39456,tonnes,"OECD Environment Statistics, Municipal waste: generation and treatment (OECD.ENV.EPI, DSD_MUNW@DF_MUNW)",observed_status_A
2022,msw_compost,AUS,3352024.3570565,tonnes,"OECD Environment Statistics, Municipal waste: generation and treatment (OECD.ENV.EPI, DSD_MUNW@DF_MUNW)",observed_status_A
2023,msw_compost,AUS,3491560.0171197997,tonnes,"OECD Environment Statistics, Municipal waste: generation and treatment (OECD.ENV.EPI, DSD_MUNW@DF_MUNW)",observed_status_A
1990,msw_compost,AUT,814000.0,tonnes,"OECD Environment Statistics, Municipal waste: generation and treatment (OECD.ENV.EPI, DSD_MUNW@DF_MUNW)",observed_status_A
