year,series,region_or_material,value,unit,source,method
2020,msw_generated,World,2.1,Gt_per_year,"UNEP 2024, Global Waste Management Outlook 2024, p. 19",transcribed
2020,uncontrolled_share,World,38.0,percent_of_MSW,"UNEP 2024, Global Waste Management Outlook 2024, p. 21",transcribed
2020,uncontrolled_mass,World,806.0,Mt_per_year,"UNEP 2024, Global Waste Management Outlook 2024, p. 22",transcribed
2050,uncontrolled_share,World,41.0,percent_of_MSW,"UNEP 2024, Global Waste Management Outlook 2024, p. 22",transcribed
2050,uncontrolled_mass,World,1600.0,Mt_per_year,"UNEP 2024, Global Waste Management Outlook 2024, p. 22",transcribed
2020,msw_management_direct_cost,World,252.3,bn_USD2020_per_year,"UNEP 2024, Global Waste Management Outlook 2024, p. 41",transcribed
2020,msw_uncontrolled_externality_cost,World,243.3,bn_USD2020_per_year,"UNEP 2024, Global Waste Management Outlook 2024, p. 41",transcribed
2050,msw_total_cost_business_as_usual,World,640.3,bn_USD2020_per_year,"UNEP 2024, Global Waste Management Outlook 2024, p. 41",transcribed
2050,msw_externality_cost_business_as_usual,World,443.0,bn_USD2020_per_year,"UNEP 2024, Global Waste Management Outlook 2024, p. 41",transcribed
2020,destination_mass_controlled,World,1320327.0,thousand_tonnes_per_year,"UNEP 2024, Global Waste Management Outlook 2024, figure 7, p. 21",transcribed_figure
2020,destination_share_controlled,World,62.0,percent_of_MSW,"UNEP 2024, Global Waste Management Outlook 2024, figure 7, p. 21",transcribed_figure
2020,destination_mass_uncontrolled,World,805644.0,thousand_tonnes_per_year,"UNEP 2024, Global Waste Management Outlook 2024, figure 7, p. 21",transcribed_figure
2020,destination_share_uncontrolled,World,38.0,percent_of_MSW,"UNEP 2024, Global Waste Management Outlook 2024, figure 7, p. 21",transcribed_figure
2020,destination_mass_landfilling,World,641256.0,thousand_tonnes_per_year,"UNEP 2024, Global Waste Management Outlook 2024, figure 7, p. 21",transcribed_figure
2020,destination_share_landfilling,World,30.0,percent_of_MSW,"UNEP 2024, Global Waste Management Outlook 2024, figure 7, p. 21",transcribed_figure
2020,destination_mass_waste_to_energy,World,274800.0,thousand_tonnes_per_year,"UNEP 2024, Global Waste Management Outlook 2024, figure 7, p. 21",transcribed_figure
2020,destination_share_waste_to_energy,World,13.0,percent_of_MSW,"UNEP 2024, Global Waste Management Outlook 2024, figure 7, p. 21",transcribed_figure
2020,destination_mass_recycling,World,404271.0,thousand_tonnes_per_year,"UNEP 2024, Global Waste Management Outlook 2024, figure 7, p. 21",transcribed_figure
2020,destination_share_recycling,World,19.0,percent_of_MSW,"UNEP 2024, Global Waste Management Outlook 2024, figure 7, p. 21",transcribed_figure
2020,msw_collection_rate,North America,100.0,percent_of_MSW,"UNEP 2024, Global Waste Management Outlook 2024, table 2B.1.1, annex 2",transcribed_table
2020,n_countries_in_region,North America,3.0,count,"UNEP 2024, Global Waste Management Outlook 2024, table 2B.1.1, annex 2",transcribed_table
2020,msw_collection_rate,Central America and the Caribbean,71.0,percent_of_MSW,"UNEP 2024, Global Waste Management Outlook 2024, table 2B.1.1, annex 2",transcribed_table
2020,n_countries_in_region,Central America and the Caribbean,7.0,count,"UNEP 2024, Global Waste Management Outlook 2024, table 2B.1.1, annex 2",transcribed_table
2020,msw_collection_rate,South America,95.0,percent_of_MSW,"UNEP 2024, Global Waste Management Outlook 2024, table 2B.1.1, annex 2",transcribed_table
2020,n_countries_in_region,South America,6.0,count,"UNEP 2024, Global Waste Management Outlook 2024, table 2B.1.1, annex 2",transcribed_table
