year,series,region_or_material,value,unit,source,method
2011,eolrr,V,1.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table C1, p. 30; estimate from working group consensus",transcribed_table_upper_bound
2011,osr,Cr,60.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table C1, p. 30; estimate from Johnson et al. (2006)",transcribed_table_point
2011,osr,Cr,72.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table C1, p. 30; estimate from Papp, USGS (2004)",transcribed_table_point
2011,rc,Cr,20.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table C1, p. 30; estimate from Papp, USGS (2004)",transcribed_table_point
2011,rc,Cr,18.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table C1, p. 30; estimate from Johnson et al. (2006)",transcribed_table_point
2011,eolrr,Cr,87.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table C1, p. 30; estimate from Papp, USGS (2004)",transcribed_table_point
2011,eolrr,Cr,93.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table C1, p. 30; estimate from Johnson et al. (2006)",transcribed_table_point
2011,osr,Mn,33.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table C1, p. 30; estimate from working group consensus",transcribed_table_point
2011,osr,Mn,67.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table C1, p. 30; estimate from Jones, USGS (2004)",transcribed_table_point
2011,rc,Mn,37.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table C1, p. 30; estimate from Jones, USGS (2004)",transcribed_table_point
2011,eolrr,Mn,53.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table C1, p. 30; estimate from Jones, USGS (2004)",transcribed_table_point
2011,osr,Fe,54.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table C1, p. 30; estimate from working group consensus",transcribed_table_point
2011,osr,Fe,52.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table C1, p. 30; estimate from Worldsteel (2009)",transcribed_table_point
2011,osr,Fe,66.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table C1, p. 30; estimate from Fenton, USGS (2004)",transcribed_table_point
2011,osr,Fe,65.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table C1, p. 30; estimate from Wang et al. (2007)",transcribed_table_point
2011,rc,Fe,28.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table C1, p. 30; estimate from Wang et al. (2007)",transcribed_table_point
2011,rc,Fe,41.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table C1, p. 30; estimate from Fenton, USGS (2004)",transcribed_table_point
2011,rc,Fe,52.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table C1, p. 30; estimate from Worldsteel (2009)",transcribed_table_point
