year,series,region_or_material,value,unit,source,method
2016.0,global_openly_dumped_or_burned_share,World,33.0,percent_of_MSW,"Kaza et al. 2018, What a Waste 2.0, p. 5",transcribed
2016.0,global_recovered_share,World,19.0,percent_of_MSW,"Kaza et al. 2018, What a Waste 2.0, p. 5",transcribed
2016.0,global_incinerated_share,World,11.0,percent_of_MSW,"Kaza et al. 2018, What a Waste 2.0, p. 5",transcribed
2016.0,global_landfilled_share,World,37.0,percent_of_MSW,"Kaza et al. 2018, What a Waste 2.0, p. 5",transcribed
2016.0,global_treated_share,World,67.0,percent_of_MSW,"Kaza et al. 2018, What a Waste 2.0, p. 5",computed_as_100_minus_open_dump
2016.0,global_collected_share_population_weighted,World,84.31890223459003,percent_of_population,"Kaza et al. 2018, What a Waste Global Database, country_level_data.csv",computed
2016.0,global_msw_generated,World,2.07395588181779,Gt_per_year,"Kaza et al. 2018, What a Waste Global Database, country_level_data.csv",computed
2020.0,global_openly_dumped_or_burned_share,World,38.0,percent_of_MSW,"UNEP 2024, Global Waste Management Outlook 2024, p. 21",transcribed
2050.0,global_openly_dumped_or_burned_share,World,41.0,percent_of_MSW,"UNEP 2024, Global Waste Management Outlook 2024, p. 22",transcribed
2020.0,global_treated_share,World,62.0,percent_of_MSW,"UNEP 2024, Global Waste Management Outlook 2024, p. 21",computed_as_100_minus_uncontrolled
2020.0,global_collected_share,World,89.0,percent_of_MSW,"UNEP 2024, Global Waste Management Outlook 2024, table 2B.1.1, annex 2",transcribed_table
2020.0,global_msw_generated,World,2.1,Gt_per_year,"UNEP 2024, Global Waste Management Outlook 2024, p. 19",transcribed
2018.0,unit_cost_collection_and_transfer_low__kaza2018,LIC,20.0,"current_USD_per_tonne_price_base_not_stated (report published 2018, data year 2016)","Kaza et al. 2018, What a Waste 2.0, table 5.2, p. 104",transcribed
2018.0,unit_cost_collection_and_transfer_high__kaza2018,LIC,50.0,"current_USD_per_tonne_price_base_not_stated (report published 2018, data year 2016)","Kaza et al. 2018, What a Waste 2.0, table 5.2, p. 104",transcribed
2018.0,unit_cost_collection_and_transfer_low__kaza2018,LMC,30.0,"current_USD_per_tonne_price_base_not_stated (report published 2018, data year 2016)","Kaza et al. 2018, What a Waste 2.0, table 5.2, p. 104",transcribed
2018.0,unit_cost_collection_and_transfer_high__kaza2018,LMC,75.0,"current_USD_per_tonne_price_base_not_stated (report published 2018, data year 2016)","Kaza et al. 2018, What a Waste 2.0, table 5.2, p. 104",transcribed
2018.0,unit_cost_collection_and_transfer_low__kaza2018,UMC,50.0,"current_USD_per_tonne_price_base_not_stated (report published 2018, data year 2016)","Kaza et al. 2018, What a Waste 2.0, table 5.2, p. 104",transcribed
2018.0,unit_cost_collection_and_transfer_high__kaza2018,UMC,100.0,"current_USD_per_tonne_price_base_not_stated (report published 2018, data year 2016)","Kaza et al. 2018, What a Waste 2.0, table 5.2, p. 104",transcribed
2018.0,unit_cost_collection_and_transfer_low__kaza2018,HIC,90.0,"current_USD_per_tonne_price_base_not_stated (report published 2018, data year 2016)","Kaza et al. 2018, What a Waste 2.0, table 5.2, p. 104",transcribed
2018.0,unit_cost_collection_and_transfer_high__kaza2018,HIC,200.0,"current_USD_per_tonne_price_base_not_stated (report published 2018, data year 2016)","Kaza et al. 2018, What a Waste 2.0, table 5.2, p. 104",transcribed
2018.0,unit_cost_controlled_to_sanitary_landfill_low__kaza2018,LIC,10.0,"current_USD_per_tonne_price_base_not_stated (report published 2018, data year 2016)","Kaza et al. 2018, What a Waste 2.0, table 5.2, p. 104",transcribed
2018.0,unit_cost_controlled_to_sanitary_landfill_high__kaza2018,LIC,20.0,"current_USD_per_tonne_price_base_not_stated (report published 2018, data year 2016)","Kaza et al. 2018, What a Waste 2.0, table 5.2, p. 104",transcribed
2018.0,unit_cost_controlled_to_sanitary_landfill_low__kaza2018,LMC,15.0,"current_USD_per_tonne_price_base_not_stated (report published 2018, data year 2016)","Kaza et al. 2018, What a Waste 2.0, table 5.2, p. 104",transcribed
2018.0,unit_cost_controlled_to_sanitary_landfill_high__kaza2018,LMC,40.0,"current_USD_per_tonne_price_base_not_stated (report published 2018, data year 2016)","Kaza et al. 2018, What a Waste 2.0, table 5.2, p. 104",transcribed
