year,series,region_or_material,value,unit,source,method
2016,treatment_share_landfill_any,World,37.0,percent_of_MSW,"Kaza et al. 2018, What a Waste 2.0, p. 5",transcribed
2016,treatment_share_sanitary_landfill_lfg,World,8.0,percent_of_MSW,"Kaza et al. 2018, What a Waste 2.0, p. 5",transcribed
2016,treatment_share_open_dump,World,33.0,percent_of_MSW,"Kaza et al. 2018, What a Waste 2.0, p. 5",transcribed
2016,treatment_share_recycling_and_composting,World,19.0,percent_of_MSW,"Kaza et al. 2018, What a Waste 2.0, p. 5",transcribed
2016,treatment_share_incineration,World,11.0,percent_of_MSW,"Kaza et al. 2018, What a Waste 2.0, p. 5",transcribed
2016,treatment_share_open_dump,LIC,93.0,percent_of_MSW,"Kaza et al. 2018, What a Waste 2.0, p. 5",transcribed
2016,treatment_share_open_dump,HIC,2.0,percent_of_MSW,"Kaza et al. 2018, What a Waste 2.0, p. 5",transcribed
2016,treatment_share_landfill_any,UMC,54.0,percent_of_MSW,"Kaza et al. 2018, What a Waste 2.0, p. 5",transcribed
2016,treatment_share_landfill_any,HIC,39.0,percent_of_MSW,"Kaza et al. 2018, What a Waste 2.0, p. 5",transcribed
2016,treatment_share_recycling_and_composting,HIC,35.0,percent_of_MSW,"Kaza et al. 2018, What a Waste 2.0, p. 5",transcribed
2016,treatment_share_incineration,HIC,22.0,percent_of_MSW,"Kaza et al. 2018, What a Waste 2.0, p. 5",transcribed
2018,unit_cost_collection_and_transfer_low,LIC,20.0,current_USD_per_tonne,"Kaza et al. 2018, What a Waste 2.0, table 5.2, p. 104",transcribed
2018,unit_cost_collection_and_transfer_high,LIC,50.0,current_USD_per_tonne,"Kaza et al. 2018, What a Waste 2.0, table 5.2, p. 104",transcribed
2018,unit_cost_collection_and_transfer_low,LMC,30.0,current_USD_per_tonne,"Kaza et al. 2018, What a Waste 2.0, table 5.2, p. 104",transcribed
2018,unit_cost_collection_and_transfer_high,LMC,75.0,current_USD_per_tonne,"Kaza et al. 2018, What a Waste 2.0, table 5.2, p. 104",transcribed
2018,unit_cost_collection_and_transfer_low,UMC,50.0,current_USD_per_tonne,"Kaza et al. 2018, What a Waste 2.0, table 5.2, p. 104",transcribed
2018,unit_cost_collection_and_transfer_high,UMC,100.0,current_USD_per_tonne,"Kaza et al. 2018, What a Waste 2.0, table 5.2, p. 104",transcribed
2018,unit_cost_collection_and_transfer_low,HIC,90.0,current_USD_per_tonne,"Kaza et al. 2018, What a Waste 2.0, table 5.2, p. 104",transcribed
2018,unit_cost_collection_and_transfer_high,HIC,200.0,current_USD_per_tonne,"Kaza et al. 2018, What a Waste 2.0, table 5.2, p. 104",transcribed
2018,unit_cost_controlled_to_sanitary_landfill_low,LIC,10.0,current_USD_per_tonne,"Kaza et al. 2018, What a Waste 2.0, table 5.2, p. 104",transcribed
2018,unit_cost_controlled_to_sanitary_landfill_high,LIC,20.0,current_USD_per_tonne,"Kaza et al. 2018, What a Waste 2.0, table 5.2, p. 104",transcribed
2018,unit_cost_controlled_to_sanitary_landfill_low,LMC,15.0,current_USD_per_tonne,"Kaza et al. 2018, What a Waste 2.0, table 5.2, p. 104",transcribed
2018,unit_cost_controlled_to_sanitary_landfill_high,LMC,40.0,current_USD_per_tonne,"Kaza et al. 2018, What a Waste 2.0, table 5.2, p. 104",transcribed
2018,unit_cost_controlled_to_sanitary_landfill_low,UMC,20.0,current_USD_per_tonne,"Kaza et al. 2018, What a Waste 2.0, table 5.2, p. 104",transcribed
2018,unit_cost_controlled_to_sanitary_landfill_high,UMC,65.0,current_USD_per_tonne,"Kaza et al. 2018, What a Waste 2.0, table 5.2, p. 104",transcribed
2018,unit_cost_controlled_to_sanitary_landfill_low,HIC,40.0,current_USD_per_tonne,"Kaza et al. 2018, What a Waste 2.0, table 5.2, p. 104",transcribed
2018,unit_cost_controlled_to_sanitary_landfill_high,HIC,100.0,current_USD_per_tonne,"Kaza et al. 2018, What a Waste 2.0, table 5.2, p. 104",transcribed
2018,unit_cost_open_dumping_low,LIC,2.0,current_USD_per_tonne,"Kaza et al. 2018, What a Waste 2.0, table 5.2, p. 104",transcribed
2018,unit_cost_open_dumping_high,LIC,8.0,current_USD_per_tonne,"Kaza et al. 2018, What a Waste 2.0, table 5.2, p. 104",transcribed
2018,unit_cost_open_dumping_low,LMC,3.0,current_USD_per_tonne,"Kaza et al. 2018, What a Waste 2.0, table 5.2, p. 104",transcribed
2018,unit_cost_open_dumping_high,LMC,10.0,current_USD_per_tonne,"Kaza et al. 2018, What a Waste 2.0, table 5.2, p. 104",transcribed
2018,unit_cost_recycling_low,LIC,0.0,current_USD_per_tonne,"Kaza et al. 2018, What a Waste 2.0, table 5.2, p. 104",transcribed
2018,unit_cost_recycling_high,LIC,25.0,current_USD_per_tonne,"Kaza et al. 2018, What a Waste 2.0, table 5.2, p. 104",transcribed
2018,unit_cost_recycling_low,LMC,5.0,current_USD_per_tonne,"Kaza et al. 2018, What a Waste 2.0, table 5.2, p. 104",transcribed
2018,unit_cost_recycling_high,LMC,30.0,current_USD_per_tonne,"Kaza et al. 2018, What a Waste 2.0, table 5.2, p. 104",transcribed
2018,unit_cost_recycling_low,UMC,5.0,current_USD_per_tonne,"Kaza et al. 2018, What a Waste 2.0, table 5.2, p. 104",transcribed
2018,unit_cost_recycling_high,UMC,50.0,current_USD_per_tonne,"Kaza et al. 2018, What a Waste 2.0, table 5.2, p. 104",transcribed
2018,unit_cost_recycling_low,HIC,30.0,current_USD_per_tonne,"Kaza et al. 2018, What a Waste 2.0, table 5.2, p. 104",transcribed
2018,unit_cost_recycling_high,HIC,80.0,current_USD_per_tonne,"Kaza et al. 2018, What a Waste 2.0, table 5.2, p. 104",transcribed
2018,unit_cost_composting_low,LIC,5.0,current_USD_per_tonne,"Kaza et al. 2018, What a Waste 2.0, table 5.2, p. 104",transcribed
2018,unit_cost_composting_high,LIC,30.0,current_USD_per_tonne,"Kaza et al. 2018, What a Waste 2.0, table 5.2, p. 104",transcribed
2018,unit_cost_composting_low,LMC,10.0,current_USD_per_tonne,"Kaza et al. 2018, What a Waste 2.0, table 5.2, p. 104",transcribed
2018,unit_cost_composting_high,LMC,40.0,current_USD_per_tonne,"Kaza et al. 2018, What a Waste 2.0, table 5.2, p. 104",transcribed
