year,series,region_or_material,value,unit,source,method
2017.0,recovered_eol_material,steel,298.0,Mt_per_year,"Cullen 2017, J. Ind. Ecol. 21(3):483-486, table 1 (accepted version, Cambridge Apollo)",transcribed
2017.0,total_material_demand,steel,1500.0,Mt_per_year,"Cullen 2017, J. Ind. Ecol. 21(3):483-486, table 1 (accepted version, Cambridge Apollo)",transcribed
2017.0,energy_to_recover_material,steel,6.7,MJ_per_kg,"Cullen 2017, J. Ind. Ecol. 21(3):483-486, table 1 (accepted version, Cambridge Apollo)",transcribed
2017.0,energy_for_primary_production,steel,21.7,MJ_per_kg,"Cullen 2017, J. Ind. Ecol. 21(3):483-486, table 1 (accepted version, Cambridge Apollo)",transcribed
2017.0,cullen_alpha_quantity_circularity,steel,0.2,ratio,"Cullen 2017, J. Ind. Ecol. 21(3):483-486, table 1 (accepted version, Cambridge Apollo)",transcribed
2017.0,cullen_beta_quality_circularity,steel,0.69,ratio,"Cullen 2017, J. Ind. Ecol. 21(3):483-486, table 1 (accepted version, Cambridge Apollo)",transcribed
2017.0,cullen_circularity_index,steel,0.14,ratio,"Cullen 2017, J. Ind. Ecol. 21(3):483-486, table 1 (accepted version, Cambridge Apollo)",transcribed
2017.0,recovered_eol_material,concrete,660.0,Mt_per_year,"Cullen 2017, J. Ind. Ecol. 21(3):483-486, table 1 (accepted version, Cambridge Apollo)",transcribed
2017.0,total_material_demand,concrete,32800.0,Mt_per_year,"Cullen 2017, J. Ind. Ecol. 21(3):483-486, table 1 (accepted version, Cambridge Apollo)",transcribed
2017.0,energy_to_recover_material,concrete,3.4,MJ_per_kg,"Cullen 2017, J. Ind. Ecol. 21(3):483-486, table 1 (accepted version, Cambridge Apollo)",transcribed
2017.0,energy_for_primary_production,concrete,3.4,MJ_per_kg,"Cullen 2017, J. Ind. Ecol. 21(3):483-486, table 1 (accepted version, Cambridge Apollo)",transcribed
2017.0,cullen_alpha_quantity_circularity,concrete,0.02,ratio,"Cullen 2017, J. Ind. Ecol. 21(3):483-486, table 1 (accepted version, Cambridge Apollo)",transcribed
2017.0,cullen_beta_quality_circularity,concrete,0.0,ratio,"Cullen 2017, J. Ind. Ecol. 21(3):483-486, table 1 (accepted version, Cambridge Apollo)",transcribed
2017.0,cullen_circularity_index,concrete,0.0,ratio,"Cullen 2017, J. Ind. Ecol. 21(3):483-486, table 1 (accepted version, Cambridge Apollo)",transcribed
2017.0,recovered_eol_material,plastic,28.0,Mt_per_year,"Cullen 2017, J. Ind. Ecol. 21(3):483-486, table 1 (accepted version, Cambridge Apollo)",transcribed
2017.0,total_material_demand,plastic,299.0,Mt_per_year,"Cullen 2017, J. Ind. Ecol. 21(3):483-486, table 1 (accepted version, Cambridge Apollo)",transcribed
2017.0,energy_to_recover_material,plastic,9.6,MJ_per_kg,"Cullen 2017, J. Ind. Ecol. 21(3):483-486, table 1 (accepted version, Cambridge Apollo)",transcribed
2017.0,energy_for_primary_production,plastic,38.4,MJ_per_kg,"Cullen 2017, J. Ind. Ecol. 21(3):483-486, table 1 (accepted version, Cambridge Apollo)",transcribed
2017.0,cullen_alpha_quantity_circularity,plastic,0.09,ratio,"Cullen 2017, J. Ind. Ecol. 21(3):483-486, table 1 (accepted version, Cambridge Apollo)",transcribed
2017.0,cullen_beta_quality_circularity,plastic,0.75,ratio,"Cullen 2017, J. Ind. Ecol. 21(3):483-486, table 1 (accepted version, Cambridge Apollo)",transcribed
2017.0,cullen_circularity_index,plastic,0.07,ratio,"Cullen 2017, J. Ind. Ecol. 21(3):483-486, table 1 (accepted version, Cambridge Apollo)",transcribed
2017.0,recovered_eol_material,paper,156.0,Mt_per_year,"Cullen 2017, J. Ind. Ecol. 21(3):483-486, table 1 (accepted version, Cambridge Apollo)",transcribed
2017.0,total_material_demand,paper,408.0,Mt_per_year,"Cullen 2017, J. Ind. Ecol. 21(3):483-486, table 1 (accepted version, Cambridge Apollo)",transcribed
2017.0,energy_to_recover_material,paper,23.4,MJ_per_kg,"Cullen 2017, J. Ind. Ecol. 21(3):483-486, table 1 (accepted version, Cambridge Apollo)",transcribed
2017.0,energy_for_primary_production,paper,26.2,MJ_per_kg,"Cullen 2017, J. Ind. Ecol. 21(3):483-486, table 1 (accepted version, Cambridge Apollo)",transcribed
2017.0,cullen_alpha_quantity_circularity,paper,0.38,ratio,"Cullen 2017, J. Ind. Ecol. 21(3):483-486, table 1 (accepted version, Cambridge Apollo)",transcribed
