year,series,value,unit,source,method
1880,co2_cement_process,0.000172324,GtCO2,GCP fossil CO2 dataset 2025v15 (Andrew and Peters 2025); GCB 2025,observed
1881,co2_cement_process,0.000207825,GtCO2,GCP fossil CO2 dataset 2025v15 (Andrew and Peters 2025); GCB 2025,observed
1882,co2_cement_process,0.000270173,GtCO2,GCP fossil CO2 dataset 2025v15 (Andrew and Peters 2025); GCB 2025,observed
1883,co2_cement_process,0.000348315,GtCO2,GCP fossil CO2 dataset 2025v15 (Andrew and Peters 2025); GCB 2025,observed
1884,co2_cement_process,0.00033252,GtCO2,GCP fossil CO2 dataset 2025v15 (Andrew and Peters 2025); GCB 2025,observed
1885,co2_cement_process,0.00034499,GtCO2,GCP fossil CO2 dataset 2025v15 (Andrew and Peters 2025); GCB 2025,observed
1886,co2_cement_process,0.000374085,GtCO2,GCP fossil CO2 dataset 2025v15 (Andrew and Peters 2025); GCB 2025,observed
1887,co2_cement_process,0.000556368,GtCO2,GCP fossil CO2 dataset 2025v15 (Andrew and Peters 2025); GCB 2025,observed
1888,co2_cement_process,0.000540619,GtCO2,GCP fossil CO2 dataset 2025v15 (Andrew and Peters 2025); GCB 2025,observed
1889,co2_cement_process,0.00058191,GtCO2,GCP fossil CO2 dataset 2025v15 (Andrew and Peters 2025); GCB 2025,observed
1890,co2_cement_process,0.000665041,GtCO2,GCP fossil CO2 dataset 2025v15 (Andrew and Peters 2025); GCB 2025,observed
1891,co2_cement_process,0.000683561,GtCO2,GCP fossil CO2 dataset 2025v15 (Andrew and Peters 2025); GCB 2025,observed
1892,co2_cement_process,0.000728105,GtCO2,GCP fossil CO2 dataset 2025v15 (Andrew and Peters 2025); GCB 2025,observed
1893,co2_cement_process,0.000665246,GtCO2,GCP fossil CO2 dataset 2025v15 (Andrew and Peters 2025); GCB 2025,observed
1894,co2_cement_process,0.000695154,GtCO2,GCP fossil CO2 dataset 2025v15 (Andrew and Peters 2025); GCB 2025,observed
1895,co2_cement_process,0.000725842,GtCO2,GCP fossil CO2 dataset 2025v15 (Andrew and Peters 2025); GCB 2025,observed
1896,co2_cement_process,0.000790856,GtCO2,GCP fossil CO2 dataset 2025v15 (Andrew and Peters 2025); GCB 2025,observed
1897,co2_cement_process,0.000913555,GtCO2,GCP fossil CO2 dataset 2025v15 (Andrew and Peters 2025); GCB 2025,observed
1898,co2_cement_process,0.001006805,GtCO2,GCP fossil CO2 dataset 2025v15 (Andrew and Peters 2025); GCB 2025,observed
1899,co2_cement_process,0.001290216,GtCO2,GCP fossil CO2 dataset 2025v15 (Andrew and Peters 2025); GCB 2025,observed
1900,co2_cement_process,0.001394622,GtCO2,GCP fossil CO2 dataset 2025v15 (Andrew and Peters 2025); GCB 2025,observed
1901,co2_cement_process,0.00166622,GtCO2,GCP fossil CO2 dataset 2025v15 (Andrew and Peters 2025); GCB 2025,observed
1902,co2_cement_process,0.002158012,GtCO2,GCP fossil CO2 dataset 2025v15 (Andrew and Peters 2025); GCB 2025,observed
1903,co2_cement_process,0.002548447,GtCO2,GCP fossil CO2 dataset 2025v15 (Andrew and Peters 2025); GCB 2025,observed
1904,co2_cement_process,0.002748608,GtCO2,GCP fossil CO2 dataset 2025v15 (Andrew and Peters 2025); GCB 2025,observed
1905,co2_cement_process,0.003512206,GtCO2,GCP fossil CO2 dataset 2025v15 (Andrew and Peters 2025); GCB 2025,observed
1906,co2_cement_process,0.004497297,GtCO2,GCP fossil CO2 dataset 2025v15 (Andrew and Peters 2025); GCB 2025,observed
1907,co2_cement_process,0.004629558,GtCO2,GCP fossil CO2 dataset 2025v15 (Andrew and Peters 2025); GCB 2025,observed
1908,co2_cement_process,0.004824123,GtCO2,GCP fossil CO2 dataset 2025v15 (Andrew and Peters 2025); GCB 2025,observed
1909,co2_cement_process,0.006060403,GtCO2,GCP fossil CO2 dataset 2025v15 (Andrew and Peters 2025); GCB 2025,observed
