year,series,value,unit,source,method
,irf_co2_rel_error_pct,0.6,per cent,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",published
,irf_co2_a0,0.2173,fraction,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",published
,irf_co2_a1,0.224,fraction,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",published
,irf_co2_a2,0.2824,fraction,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",published
,irf_co2_a3,0.2763,fraction,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",published
,irf_co2_tau1,394.4,years,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",published
,irf_co2_tau2,36.54,years,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",published
,irf_co2_tau3,4.304,years,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",published
0,irf_co2_retained_fraction_at_horizon,1,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
1,irf_co2_retained_fraction_at_horizon,0.934525143,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
2,irf_co2_retained_fraction_at_horizon,0.881133921,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
3,irf_co2_retained_fraction_at_horizon,0.837358502,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
4,irf_co2_retained_fraction_at_horizon,0.801241693,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
5,irf_co2_retained_fraction_at_horizon,0.771231104,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
6,irf_co2_retained_fraction_at_horizon,0.746095242,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
7,irf_co2_retained_fraction_at_horizon,0.724857011,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
