year,series,value,unit,source,method
1900,C,2.890339563554062,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1901,C,2.996414192382569,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1902,C,3.053586625605033,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1903,C,3.1528121137068714,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1904,C,3.1787180065944765,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1905,C,3.285733411095884,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1906,C,3.488486936976396,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1907,C,3.542333140795969,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1908,C,3.4591723655739677,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1909,C,3.68335057294997,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1910,C,3.723469616270195,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1911,C,3.838566968627136,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1912,C,3.9579179581194923,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1913,C,4.046877007692304,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1914,C,3.8297583530013934,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1915,C,3.852349183863963,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1916,C,4.110373119908673,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1917,C,4.006591261084395,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1918,C,3.9885603143788977,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1919,C,3.973191906956628,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1920,C,3.980279870883599,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1921,C,3.9796589288548794,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1922,C,4.253769705409542,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1923,C,4.434463503444196,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1924,C,4.659108639809833,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1925,C,4.821616002477615,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1926,C,4.971647565719506,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1927,C,5.100573935616703,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1928,C,5.2492114843507265,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1929,C,5.454411344888933,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1930,C,5.190292161225946,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1931,C,4.933218360607368,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1932,C,4.643282758751638,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1933,C,4.712802168537512,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1934,C,4.9469940951349765,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1935,C,5.232992919655207,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1936,C,5.512987342382128,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1937,C,5.799599364574639,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1938,C,5.789009570793283,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1939,C,6.143932388700037,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1940,C,6.308204834848839,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1941,C,6.634423888692693,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1942,C,6.838734325764199,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1943,C,7.058665247833115,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1944,C,7.140268793535162,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1945,C,6.599167249378829,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1946,C,6.129077444971346,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1947,C,6.122580472514255,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1948,C,6.417152029380139,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1949,C,6.552616751427426,trillion 2011 intl USD,maddison2023+pwt1001,reconstructed
1950,C,6.6839155524401175,trillion 2011 intl USD,maddison2023+pwt1001,aggregated
1951,C,6.960109334297566,trillion 2011 intl USD,maddison2023+pwt1001,aggregated
1952,C,7.410504327673966,trillion 2011 intl USD,maddison2023+pwt1001,aggregated
1953,C,7.80911259816432,trillion 2011 intl USD,maddison2023+pwt1001,aggregated
1954,C,7.989456948850917,trillion 2011 intl USD,maddison2023+pwt1001,aggregated
1955,C,8.39592478113553,trillion 2011 intl USD,maddison2023+pwt1001,aggregated
1956,C,8.733311156714272,trillion 2011 intl USD,maddison2023+pwt1001,aggregated
1957,C,9.022699897922116,trillion 2011 intl USD,maddison2023+pwt1001,aggregated
