"Country","Category","Flow name","Flow code","Flow unit","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Afghanistan","Biomass","Domestic Extraction","DE","t","29427854","28777035","27200896","29147772","30519158","32049875","33107085","31010917","31632814","30739323","30310297","29894622","29296108","27922274","25815905","24115815","21780727","22968603","22075888","21177671","20671951","21469114","20524849","21954331","22604112","23452948","24261836","26395331","27940172","27745714","22229815","20981750","27550367","29586963","27659863","32451424","30201367","33230115","29645829","36978587","37198019","34018329","37907859","38097802","39503300","37422531","37951985","35170079","33170392","33681475"
"Afghanistan","Biomass","Domestic Material Consumption","DMC","t","29476560","29136965","27290656","29112673","30433539","31937999","32944294","30940758","31591415","30856636","30245662","29941661","29407098","27935128","25793334","24093359","21884403","23183963","22269166","21477421","20989863","21593742","20705102","22182159","22727438","23705646","24455154","26655966","28065722","28025887","23356845","22438932","28832368","30616730","28679575","33920536","31796685","34719986","31657676","39224995","39001193","36654160","39953630","40324678","42368850","40730273","41903737","40132740","38165210","37202637"
"Afghanistan","Biomass","Domestic Material Input","DMI","t","29617873","29282898","27485608","29306247","30656605","32184560","33211150","31153757","31798543","31060041","30454549","30138861","29568796","28114177","25987740","24241288","22039736","23315450","22383540","21549825","21047660","21636492","20758166","22244735","22798978","23769801","24547205","26740346","28193995","28154886","23497156","22555823","28964705","30799243","28924199","34102331","31994144","34992920","31936187","39544924","39268631","36835574","40086686","40559216","42629687","41019516","42335796","40630738","39090334","38217826"
"Afghanistan","Biomass","Exports","EXP","t","141313","145933","194952","193574","223066","246561","266856","212999","207128","203405","208887","197200","161698","179049","194406","147929","155333","131487","114374","72404","57797","42750","53064","62576","71540","64155","92050","84379","128273","128999","140310","116891","132337","182513","244624","181794","197459","272934","278511","319929","267439","181414","133056","234537","260837","289244","432059","497998","925124","1015189"
"Afghanistan","Biomass","Imports","IMP","t","190019","505863","284712","158475","137447","134685","104065","142840","165729","320718","144252","244239","272688","191903","171835","125473","259009","346847","307652","372154","375709","167378","233317","290404","194866","316853","285369","345015","253824","409172","1267340","1574073","1414338","1212280","1264337","1650907","1792778","1762805","2290358","2566337","2070612","2817245","2178827","2461414","3126387","3596985","4383811","5460660","5919941","4536351"
"Afghanistan","Biomass","Physical Trade Balance","PTB","t","48706","359930","89760","-35099","-85619","-111876","-162791","-70159","-41399","117313","-64635","47039","110990","12854","-22571","-22456","103676","215360","193278","299750","317912","124628","180254","227828","123326","252698","193319","260636","125551","280173","1127030","1457182","1282002","1029767","1019712","1469112","1595319","1489871","2011847","2246408","1803174","2635831","2045772","2226876","2865550","3307742","3951752","4962661","4994817","3521162"
"Afghanistan","Biomass","Raw Material Consumption","RMC","t","20572390","20415010","18274760","19127390","20290270","21045040","21872780","21633790","21810820","21698620","21700090","22245380","22496380","21644010","21012970","20455220","19457740","20605640","20419020","20559170","20665290","22258020","23446180","23181570","23264460","23823380","22363380","23878150","29822970","30502590","34085790","36986020","40464230","43800830","37571680","33832630","27033060","28047730","26293420","30298780","39672800","49485190","41357150","44535280","39854990","39944650","42966490","35290920","35744010","37373780"
"Afghanistan","Biomass","Raw Material Equivalents of exports","RME_EXP","t","16001040","15485140","15970290","17176940","17773520","18513200","19098690","17655590","18224360","17618200","17240530","16759260","16251040","15544080","14506210","13616840","12552600","13437240","12452430","11845380","11457880","11828340","11195100","12960800","13560570","14251630","14359470","15950070","17123210","16396530","12300270","11908100","17210180","19659390","17337240","21873460","19691930","22068800","17635030","24253830","22631320","18999510","23243330","23917280","24668770","22897510","22869920","21907100","17761630","17063460"
"Afghanistan","Biomass","Raw Material Equivalents of imports","RME_IMP","t","7145576","7123111","7044155","7156558","7544633","7508367","7864379","8278464","8402364","8577500","8630328","9110017","9451314","9265813","9703274","9956249","10229610","11074270","10795560","11226870","11451220","12617250","14116430","14188040","14220920","14622060","12461010","13432880","19006000","19153410","24156240","27912370","30124040","33873260","27249050","23254660","16523620","16886410","14282620","17574020","25106100","34466370","26692620","30354760","25020470","25419630","27884420","22027940","20335240","20755770"
"Afghanistan","Excavated earthen materials (including soil) nec","Domestic Extraction","DE","t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
